chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr03	chr09	0.047382	-10.849	0	0	True
chr04	chr05	0.048538	-10.661	0	0	True
chr10	chr15	0.048782	-10.621	0	0	True
chr01	chr02	0.048888	-10.603	0	0	True
chr11	chr21	0.049204	-10.552	0	0	True
chr07	chr08	0.049295	-10.537	0	0	True
chr27	chr29	0.049400	-10.520	0	0	True
chr20	chr25	0.049439	-10.513	0	0	True
chr13	chr17	0.049462	-10.510	0	0	True
chr26	chr34	0.049556	-10.494	0	0	True
chr28	chr33	0.049564	-10.493	0	0	True
chr12	chr16	0.049664	-10.477	0	0	True
chr23	chr32	0.049771	-10.459	0	0	True
chr19	chr24	0.049951	-10.430	0	0	True
chr18	chr22	0.051264	-10.215	0	0	True
chr06	chr14	0.052304	-10.045	0	0	True
chr30	chr31	0.054125	-9.748	0	0	True
chr06	chr13	0.093908	-3.251	0.000574009	0.01789	False
chr03	chr05	0.094443	-3.164	0.000778193	0.0229772	False
chr14	chr17	0.094801	-3.106	0.000949668	0.0266382	False
chr04	chr09	0.095227	-3.036	0.00119865	0.0320212	False
chr19	chr20	0.095942	-2.919	0.00175461	0.0434065	False
chr08	chr12	0.095969	-2.915	0.00177959	0.0434065	False
chr24	chr25	0.096682	-2.798	0.00256714	0.0599347	False
chr07	chr16	0.096760	-2.786	0.00267089	0.0599347	False
chr18	chr28	0.099096	-2.404	0.00810417	0.174863	False
chr22	chr33	0.099190	-2.389	0.0084499	0.17557	False
chr11	chr30	0.100087	-2.242	0.0124718	0.249881	False
chr23	chr26	0.100299	-2.208	0.0136342	0.263751	False
chr32	chr34	0.100983	-2.096	0.0180358	0.326587	False
chr21	chr31	0.100984	-2.096	0.0180467	0.326587	False
chr01	chr29	0.101654	-1.986	0.0234911	0.411829	False
chr02	chr27	0.101930	-1.941	0.0261081	0.443837	False
chr03	chr04	0.102152	-1.905	0.0283839	0.468334	False
chr02	chr15	0.102643	-1.825	0.034004	0.545036	False
chr06	chr17	0.102922	-1.779	0.0375911	0.551345	False
chr01	chr10	0.103319	-1.715	0.0432167	0.551345	False
chr06	chr30	0.103751	-1.644	0.050091	0.551345	False
chr32	chr33	0.103780	-1.639	0.050582	0.551345	False
chr05	chr09	0.103794	-1.637	0.0508119	0.551345	False
chr10	chr11	0.103819	-1.633	0.0512398	0.551345	False
chr13	chr14	0.103820	-1.633	0.0512613	0.551345	False
chr23	chr28	0.103930	-1.615	0.0531746	0.551345	False
chr08	chr16	0.104270	-1.559	0.0594628	0.551345	False
chr03	chr06	0.104292	-1.556	0.0599035	0.551345	False
chr18	chr30	0.104363	-1.544	0.0612806	0.551345	False
chr06	chr18	0.104423	-1.534	0.0624712	0.551345	False
chr07	chr12	0.104441	-1.531	0.0628435	0.551345	False
chr18	chr26	0.104548	-1.514	0.0650203	0.551345	False
chr19	chr25	0.104862	-1.463	0.0717963	0.551345	False
chr06	chr26	0.104870	-1.461	0.0719698	0.551345	False
chr26	chr30	0.104903	-1.456	0.0727231	0.551345	False
chr20	chr24	0.105175	-1.412	0.0790411	0.551345	False
