chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.006104	chr02	0.048888	-10.603	0	3.00
chr02	2	0.026533	chr01	0.048888	-10.603	0	3.00
chr03	2	0.008828	chr09	0.047382	-10.849	0	3.99
chr04	2	0.014965	chr05	0.048538	-10.661	0	4.29
chr05	2	0.007688	chr04	0.048538	-10.661	0	4.29
chr06	2	0.006213	chr14	0.052304	-10.045	0	4.34
chr07	2	0.019288	chr08	0.049295	-10.537	0	3.33
chr08	2	0.010291	chr07	0.049295	-10.537	0	3.33
chr09	2	0.014937	chr03	0.047382	-10.849	0	3.99
chr10	2	0.008142	chr15	0.048782	-10.621	0	3.30
chr11	2	0.006981	chr21	0.049204	-10.552	0	4.65
chr12	2	0.007495	chr16	0.049664	-10.477	0	3.59
chr13	2	0.003825	chr17	0.049462	-10.510	0	7.32
chr14	2	0.017913	chr06	0.052304	-10.045	0	4.34
chr15	2	0.021399	chr10	0.048782	-10.621	0	3.30
chr16	2	0.020157	chr12	0.049664	-10.477	0	3.59
chr17	2	0.009698	chr13	0.049462	-10.510	0	7.32
chr18	2	0.005524	chr22	0.051264	-10.215	0	3.95
chr19	2	0.008953	chr24	0.049951	-10.430	0	4.18
chr20	2	0.008630	chr25	0.049439	-10.513	0	4.06
chr21	2	0.014185	chr11	0.049204	-10.552	0	4.65
chr22	2	0.020421	chr18	0.051264	-10.215	0	3.95
chr23	2	0.005268	chr32	0.049771	-10.459	0	4.09
chr24	2	0.014974	chr19	0.049951	-10.430	0	4.18
chr25	2	0.015734	chr20	0.049439	-10.513	0	4.06
chr26	2	0.008663	chr34	0.049556	-10.494	0	4.49
chr27	2	0.021481	chr29	0.049400	-10.520	0	3.19
chr28	2	0.010656	chr33	0.049564	-10.493	0	4.25
chr29	2	0.009449	chr27	0.049400	-10.520	0	3.19
chr30	2	0.011799	chr31	0.054125	-9.748	0	3.31
chr31	2	0.020905	chr30	0.054125	-9.748	0	3.31
chr32	2	0.019091	chr23	0.049771	-10.459	0	4.09
chr33	2	0.012656	chr28	0.049564	-10.493	0	4.25
chr34	2	0.013404	chr26	0.049556	-10.494	0	4.49
