chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.045180	chr14	0.040343	-41.728	0	0.94
chr02	2	0.015694	chr03	0.036499	-45.508	0	1.37
chr03	2	0.037516	chr02	0.036499	-45.508	0	1.37
chr04	2	0.018555	chr05	0.031705	-50.224	0	1.08
chr05	2	0.040334	chr04	0.031705	-50.224	0	1.08
chr06	2	0.039754	chr07	0.044069	-38.063	0	1.02
chr07	2	0.046895	chr06	0.044069	-38.063	0	1.02
chr08	2	0.042511	chr13	0.035984	-46.015	0	1.04
chr09	2	0.040690	chr11	0.034541	-47.435	0	1.13
chr10	2	0.037070	chr12	0.031309	-50.613	0	1.14
chr11	2	0.020353	chr09	0.034541	-47.435	0	1.13
chr12	2	0.017999	chr10	0.031309	-50.613	0	1.14
chr13	2	0.026789	chr08	0.035984	-46.015	0	1.04
chr14	2	0.040620	chr01	0.040343	-41.728	0	0.94
chr15	2	0.041847	chr16	0.034926	-47.055	0	1.03
chr16	2	0.026130	chr15	0.034926	-47.055	0	1.03
chr17	2	0.044334	chr18	0.038288	-43.749	0	1.02
chr18	2	0.031034	chr17	0.038288	-43.749	0	1.02
