chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.000437	chr12	0.067701	-3.244	0.0155674	180.54
chr02	2	0.000083	chr14	0.066936	-3.329	0.0138017	880.74
chr03	2	0.000032					
chr04	2	0.000084					
chr05	2	0.000215	chr13	0.066253	-3.405	0.0138017	447.65
chr06	2	0.001859	chr16	0.061095	-3.976	0.00665118	64.14
chr07	2	0.000156	chr17	0.067977	-3.214	0.0155674	623.64
chr08	2	0.000036	chr15	0.064800	-3.566	0.0138017	1878.25
chr09	2	0.000158	chr18	0.065682	-3.468	0.0138017	198.44
chr10	2	0.000016	chr20	0.066635	-3.362	0.0138017	541.75
chr11	2	0.000230					
chr12	2	0.000313	chr01	0.067701	-3.244	0.0155674	180.54
chr13	2	0.000081	chr05	0.066253	-3.405	0.0138017	447.65
chr14	2	0.000069	chr02	0.066936	-3.329	0.0138017	880.74
chr15	2	0.000033	chr08	0.064800	-3.566	0.0138017	1878.25
chr16	2	0.000046	chr06	0.061095	-3.976	0.00665118	64.14
chr17	2	0.000062	chr07	0.067977	-3.214	0.0155674	623.64
chr18	2	0.000504	chr09	0.065682	-3.468	0.0138017	198.44
chr19	2	0.001100					
chr20	2	0.000230	chr10	0.066635	-3.362	0.0138017	541.75
