unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	156253	3411	338855	195843
HAP1_chr02	HAP2_chr02	chr02	22028	22838	311339	312174
HAP1_chr03	HAP2_chr03	chr03	55933	75324	287571	302540
HAP1_chr04	HAP2_chr04	chr04	24463	19700	281803	276921
HAP1_chr05	HAP2_chr05	chr05	49159	82197	263441	291572
HAP1_chr06	HAP2_chr06	chr06	84687	38510	265510	224057
HAP1_chr07	HAP2_chr07	chr07	159608	1970	241548	100505
HAP1_chr08	HAP2_chr08	chr08	73645	51776	231521	214005
HAP1_chr09	HAP2_chr09	chr09	65257	20760	208518	168237
HAP1_chr10	HAP2_chr10	chr10	71338	20845	211255	165164
HAP1_chr11	HAP2_chr11	chr11	10676	19453	175215	184060
HAP1_chr12	HAP2_chr12	chr12	7593	31982	176981	201334
HAP1_chr13	HAP2_chr13	chr13	11502	31972	173699	194343
HAP1_chr14	HAP2_chr14	chr14	28209	52690	166621	188021
HAP1_chr15	HAP2_chr15	chr15	47301	44379	176420	174944
HAP1_chr16	HAP2_chr16	chr16	30573	7146	153131	129829
HAP1_chr17	HAP2_chr17	chr17	43743	35573	151275	142850
HAP1_chr18	HAP2_chr18	chr18	20222	15402	123409	118558
