unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	156253	3411	338855	195843	0.298606	0.067240
HAP1_chr02	HAP2_chr02	chr02	22028	22838	311339	312174	0.071957	0.042304
HAP1_chr03	HAP2_chr03	chr03	55933	75324	287571	302540	0.222428	0.021884
HAP1_chr04	HAP2_chr04	chr04	24463	19700	281803	276921	0.079043	0.058707
HAP1_chr05	HAP2_chr05	chr05	49159	82197	263441	291572	0.236672	0.020058
HAP1_chr06	HAP2_chr06	chr06	84687	38510	265510	224057	0.251645	0.012975
HAP1_chr07	HAP2_chr07	chr07	159608	1970	241548	100505	0.472377	0.072462
HAP1_chr08	HAP2_chr08	chr08	73645	51776	231521	214005	0.281512	0.013806
HAP1_chr09	HAP2_chr09	chr09	65257	20760	208518	168237	0.228310	0.028090
HAP1_chr10	HAP2_chr10	chr10	71338	20845	211255	165164	0.244895	0.014534
HAP1_chr11	HAP2_chr11	chr11	10676	19453	175215	184060	0.083861	0.067960
HAP1_chr12	HAP2_chr12	chr12	7593	31982	176981	201334	0.104609	0.043817
HAP1_chr13	HAP2_chr13	chr13	11502	31972	173699	194343	0.118122	0.081209
HAP1_chr14	HAP2_chr14	chr14	28209	52690	166621	188021	0.228115	0.030463
HAP1_chr15	HAP2_chr15	chr15	47301	44379	176420	174944	0.260926	0.017802
HAP1_chr16	HAP2_chr16	chr16	30573	7146	153131	129829	0.133302	0.036972
HAP1_chr17	HAP2_chr17	chr17	43743	35573	151275	142850	0.269668	0.016172
HAP1_chr18	HAP2_chr18	chr18	20222	15402	123409	118558	0.147227	0.036807
