,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36
HAP1_chr01,0.000000,0.078540,0.073895,0.075278,0.074108,0.077023,0.074199,0.074659,0.075572,0.076991,0.077793,0.076082,0.076599,0.077930,0.076308,0.076945,0.078633,0.079848,0.118838,0.111736,0.119326,0.084991,0.116446,0.116207,0.116037,0.118590,0.119124,0.119993,0.118617,0.120155,0.119653,0.119795,0.121602,0.120333,0.122888,0.123512,0.007194,0.079365,0.076477,0.077855,0.074364,0.078085,0.075020,0.075715,0.077573,0.077216,0.078240,0.078800,0.079187,0.081310,0.077289,0.076992,0.078504,0.080265,0.120847,0.118293,0.119036,0.085007,0.116146,0.118421,0.121176,0.119115,0.120148,0.120208,0.119764,0.119616,0.120282,0.121068,0.121365,0.118806,0.124558,0.124054
HAP1_chr02,0.078540,0.000000,0.077220,0.078246,0.077563,0.078931,0.078191,0.077522,0.078701,0.079599,0.079534,0.078706,0.079731,0.079703,0.079887,0.080066,0.080850,0.081961,0.078823,0.113120,0.119662,0.120205,0.116793,0.116172,0.116726,0.119312,0.119517,0.121081,0.118981,0.120248,0.121178,0.120150,0.121401,0.121324,0.122674,0.122725,0.078733,0.007086,0.080104,0.080713,0.077856,0.079783,0.078986,0.078760,0.080368,0.079643,0.080154,0.080666,0.082307,0.082674,0.080511,0.080057,0.080911,0.082778,0.079853,0.118574,0.119520,0.120670,0.116572,0.118030,0.120914,0.119922,0.121012,0.121269,0.119418,0.120092,0.121166,0.121618,0.121280,0.119511,0.124082,0.123816
HAP1_chr03,0.073895,0.077220,0.000000,0.073668,0.072742,0.075278,0.073171,0.073301,0.074491,0.076078,0.076026,0.074575,0.074808,0.076589,0.075562,0.075530,0.076622,0.078563,0.118612,0.110697,0.118388,0.119194,0.115851,0.084327,0.114920,0.117187,0.117870,0.119314,0.116470,0.118409,0.118702,0.117047,0.120415,0.118058,0.121138,0.121297,0.074243,0.077941,0.011023,0.076075,0.073022,0.075960,0.073872,0.074193,0.076026,0.076125,0.076203,0.076920,0.077186,0.079675,0.076442,0.075850,0.075944,0.078796,0.120656,0.117272,0.118159,0.119723,0.114905,0.085331,0.120280,0.117411,0.119000,0.118167,0.117358,0.118438,0.119169,0.119376,0.120107,0.117156,0.122211,0.121702
HAP1_chr04,0.075278,0.078246,0.073668,0.000000,0.074275,0.075411,0.074382,0.074145,0.074931,0.076615,0.076952,0.075025,0.075783,0.076748,0.076347,0.076695,0.077137,0.078295,0.115184,0.107829,0.114742,0.115022,0.112063,0.111751,0.112429,0.114219,0.114647,0.116453,0.113575,0.115113,0.114827,0.114972,0.116832,0.086990,0.117631,0.117915,0.075206,0.078636,0.075684,0.009629,0.074218,0.076044,0.074790,0.074763,0.076288,0.076328,0.077442,0.077389,0.078083,0.079659,0.077070,0.076684,0.076766,0.078866,0.117417,0.113882,0.115011,0.115625,0.111431,0.113780,0.117060,0.114950,0.115649,0.115579,0.114647,0.115086,0.115452,0.117001,0.116531,0.085714,0.119149,0.118629
HAP1_chr05,0.074108,0.077563,0.072742,0.074275,0.000000,0.075285,0.073631,0.073640,0.074445,0.075926,0.076418,0.074566,0.074816,0.076502,0.076259,0.075607,0.076398,0.078387,0.117608,0.110346,0.118246,0.118470,0.115095,0.114340,0.114542,0.116257,0.116973,0.117953,0.115931,0.086049,0.118313,0.116815,0.120399,0.118756,0.120555,0.121385,0.073802,0.078085,0.074644,0.076279,0.007136,0.075816,0.074083,0.074462,0.075559,0.075593,0.076871,0.076609,0.076852,0.079637,0.076701,0.075375,0.075986,0.078050,0.120459,0.116169,0.118105,0.118782,0.114488,0.116463,0.119938,0.116831,0.117121,0.117894,0.117751,0.085988,0.118878,0.118506,0.119496,0.117630,0.122193,0.121636
HAP1_chr06,0.077023,0.078931,0.075278,0.075411,0.075285,0.000000,0.076496,0.076076,0.076664,0.077383,0.078443,0.076272,0.076861,0.077745,0.078559,0.078056,0.077864,0.079584,0.113135,0.105673,0.112299,0.113666,0.109893,0.109249,0.110175,0.111675,0.112527,0.113948,0.111465,0.113349,0.112239,0.112048,0.114907,0.113300,0.115196,0.084328,0.076753,0.079670,0.077419,0.077049,0.075486,0.008143,0.076922,0.076895,0.077995,0.077120,0.078926,0.078461,0.078527,0.080179,0.078813,0.078206,0.078225,0.079797,0.115571,0.110812,0.112246,0.114000,0.109072,0.111472,0.114841,0.112042,0.113376,0.112606,0.112385,0.113104,0.113076,0.114329,0.114266,0.112103,0.117001,0.085236
HAP1_chr07,0.074199,0.078191,0.073171,0.074382,0.073631,0.076496,0.000000,0.074065,0.075094,0.076221,0.077327,0.075532,0.075329,0.077187,0.075915,0.075911,0.077109,0.078854,0.116639,0.081187,0.116313,0.116571,0.113364,0.113039,0.113646,0.115019,0.115372,0.117126,0.114551,0.116436,0.116122,0.115451,0.118694,0.116948,0.119103,0.119087,0.073913,0.078861,0.074428,0.076373,0.074102,0.077109,0.009396,0.074212,0.076523,0.076392,0.077474,0.077406,0.077692,0.079826,0.076421,0.075450,0.076844,0.078901,0.118610,0.082549,0.115951,0.116732,0.112738,0.115200,0.118401,0.115299,0.116344,0.116445,0.115797,0.116448,0.116298,0.117087,0.118543,0.115480,0.120557,0.119315
HAP1_chr08,0.074659,0.077522,0.073301,0.074145,0.073640,0.076076,0.074065,0.000000,0.074728,0.076640,0.076728,0.075118,0.075466,0.076655,0.076272,0.075856,0.077175,0.078519,0.117837,0.109794,0.118163,0.119121,0.115067,0.114295,0.114071,0.116407,0.117079,0.118611,0.116096,0.118157,0.087741,0.116823,0.119913,0.118157,0.120807,0.121110,0.074264,0.078058,0.075113,0.076253,0.073363,0.076472,0.074259,0.008101,0.076033,0.076418,0.076961,0.077276,0.077576,0.079154,0.076712,0.075295,0.076655,0.078335,0.120501,0.115801,0.117643,0.119268,0.114444,0.116395,0.119007,0.116524,0.117783,0.117806,0.117096,0.118383,0.088611,0.118474,0.119655,0.117230,0.122172,0.120866
HAP1_chr09,0.075572,0.078701,0.074491,0.074931,0.074445,0.076664,0.075094,0.074728,0.000000,0.077525,0.077832,0.076148,0.076501,0.077254,0.077336,0.076556,0.078108,0.079212,0.117619,0.110349,0.118083,0.118231,0.115334,0.114207,0.080284,0.116762,0.118164,0.118133,0.116204,0.118423,0.118287,0.117308,0.119753,0.118739,0.121158,0.121202,0.075213,0.079319,0.076274,0.077366,0.074737,0.077035,0.075430,0.075482,0.006436,0.077184,0.078098,0.078279,0.078326,0.079631,0.077535,0.076597,0.077821,0.079362,0.120148,0.117060,0.117773,0.118553,0.114528,0.116044,0.082177,0.117586,0.119292,0.117895,0.117716,0.117935,0.119047,0.118530,0.119788,0.117731,0.122492,0.121618
HAP1_chr10,0.076991,0.079599,0.076078,0.076615,0.075926,0.077383,0.076221,0.076640,0.077525,0.000000,0.078702,0.077041,0.077560,0.077394,0.078474,0.078351,0.078012,0.079837,0.116877,0.109549,0.116512,0.118208,0.114528,0.113734,0.113583,0.115280,0.115745,0.117515,0.077768,0.117011,0.117758,0.116274,0.118597,0.117344,0.120280,0.120180,0.076648,0.079911,0.078142,0.078718,0.076289,0.077855,0.076868,0.076899,0.078235,0.004973,0.078788,0.078546,0.079558,0.080154,0.079234,0.078178,0.077747,0.080173,0.119735,0.115179,0.116382,0.117236,0.113914,0.115778,0.118805,0.115725,0.117182,0.117215,0.080786,0.116498,0.118425,0.118233,0.118315,0.116018,0.121600,0.119427
