unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	859	773	11642	11531
HAP1_chr02	HAP2_chr02	chr02	1082	1387	6567	6686
HAP1_chr03	HAP2_chr03	chr03	546	622	5826	5908
HAP1_chr04	HAP2_chr04	chr04	3811	3099	7898	7783
HAP1_chr05	HAP2_chr05	chr05	2333	251	5686	4022
HAP1_chr06	HAP2_chr06	chr06	2222	759	7022	5897
HAP1_chr07	HAP2_chr07	chr07	86	502	2691	3096
HAP1_chr08	HAP2_chr08	chr08	4427	290	6259	3357
HAP1_chr09	HAP2_chr09	chr09	287	526	3670	3886
HAP1_chr10	HAP2_chr10	chr10	1533	183	3662	2802
HAP1_chr11	HAP2_chr11	chr11	1511	432	3482	2605
HAP1_chr12	HAP2_chr12	chr12	814	301	3727	3234
HAP1_chr13	HAP2_chr13	chr13	10220	1662	10828	2639
HAP1_chr14	HAP2_chr14	chr14	1160	136	3566	2973
HAP1_chr15	HAP2_chr15	chr15	1475	389	5962	5372
HAP1_chr16	HAP2_chr16	chr16	457	59	2028	1662
HAP1_chr17	HAP2_chr17	chr17	1477	137	3300	2239
HAP1_chr18	HAP2_chr18	chr18	531	223	3696	3390
HAP1_chr19	HAP2_chr19	chr19	1477	508	3746	3143
HAP1_chr20	HAP2_chr20	chr20	27	107	1014	1094
HAP1_chr21	HAP2_chr21	chr21	1839	244	3856	2731
HAP1_chr22	HAP2_chr22	chr22	1950	32	3191	1553
HAP1_chr23	HAP2_chr23	chr23	502	279	2666	2474
HAP1_chr24	HAP2_chr24	chr24	708	253	2563	2078
HAP1_chr25	HAP2_chr25	chr25	382	73	969	661
