,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34
HAP1_chr01,0.000000,0.074626,0.076049,0.073742,0.073060,0.074073,0.071744,0.074000,0.074788,0.071465,0.074776,0.072681,0.074563,0.073543,0.073635,0.073578,0.073069,0.074091,0.073484,0.074386,0.075983,0.074372,0.074534,0.074531,0.074399,0.074363,0.075189,0.074158,0.074877,0.074925,0.075315,0.075024,0.077182,0.077965,0.002189,0.074652,0.076097,0.073579,0.073196,0.074126,0.071842,0.074057,0.074728,0.071495,0.074730,0.072652,0.074679,0.073617,0.073648,0.073585,0.073095,0.073970,0.073449,0.074284,0.076034,0.074677,0.074414,0.075628,0.074337,0.074482,0.075240,0.074151,0.074740,0.074925,0.075194,0.075226,0.077184,0.078006
HAP1_chr02,0.074626,0.000000,0.077256,0.075099,0.074533,0.074993,0.074586,0.075094,0.075683,0.074270,0.075543,0.075036,0.076723,0.074865,0.074688,0.075130,0.074647,0.076284,0.074800,0.076746,0.076982,0.075591,0.075686,0.075860,0.076697,0.076707,0.077834,0.076241,0.073585,0.076053,0.077605,0.075667,0.079069,0.076974,0.074705,0.001480,0.077316,0.074964,0.074663,0.075013,0.074717,0.075115,0.075680,0.074289,0.075532,0.075063,0.076843,0.075004,0.074724,0.075098,0.074653,0.076195,0.074800,0.076645,0.077035,0.075861,0.075562,0.076708,0.076671,0.076787,0.077875,0.076261,0.073437,0.075953,0.077479,0.075733,0.079150,0.077014
HAP1_chr03,0.076049,0.077256,0.000000,0.076539,0.076202,0.076453,0.076159,0.076564,0.077221,0.075999,0.077093,0.076591,0.078299,0.074474,0.076597,0.075137,0.076261,0.077723,0.076885,0.076850,0.078957,0.077526,0.075432,0.077557,0.076542,0.077999,0.077340,0.077951,0.077683,0.078659,0.078964,0.079072,0.080763,0.080797,0.076158,0.077247,0.001928,0.076440,0.076333,0.076476,0.076256,0.076481,0.077179,0.075996,0.077080,0.076598,0.078409,0.074541,0.076606,0.075152,0.076274,0.077706,0.076909,0.076745,0.079002,0.077803,0.075328,0.078476,0.076541,0.078085,0.077385,0.077883,0.077541,0.078584,0.078865,0.079225,0.080850,0.080792
HAP1_chr04,0.073742,0.075099,0.076539,0.000000,0.073756,0.074322,0.074001,0.074470,0.074198,0.073219,0.072899,0.074003,0.075891,0.073513,0.073868,0.074034,0.073338,0.075239,0.074207,0.075608,0.075889,0.074423,0.074541,0.074621,0.075498,0.073994,0.076538,0.075048,0.075124,0.075909,0.075594,0.076150,0.078317,0.077646,0.073833,0.075143,0.076564,0.002678,0.073862,0.074335,0.074117,0.074459,0.074137,0.073234,0.072855,0.074051,0.075950,0.073577,0.073907,0.074038,0.073301,0.075152,0.074138,0.075523,0.075994,0.074657,0.074440,0.075666,0.075413,0.074127,0.076625,0.074914,0.074892,0.075878,0.075536,0.076514,0.078293,0.077724
HAP1_chr05,0.073060,0.074533,0.076202,0.073756,0.000000,0.071963,0.073114,0.073745,0.074534,0.072258,0.074184,0.073005,0.072779,0.072734,0.071003,0.072850,0.072219,0.074107,0.073041,0.074702,0.074754,0.073241,0.073343,0.073602,0.074676,0.074422,0.075722,0.074391,0.073431,0.074781,0.075519,0.075211,0.076773,0.076247,0.073179,0.074563,0.076216,0.073584,0.000980,0.071908,0.073215,0.073728,0.074480,0.072273,0.074180,0.073027,0.072895,0.072827,0.071043,0.072910,0.072258,0.074057,0.073040,0.074614,0.074782,0.073445,0.073223,0.074492,0.074685,0.074463,0.075764,0.074384,0.073302,0.074667,0.075402,0.075328,0.076811,0.076273
HAP1_chr06,0.074073,0.074993,0.076453,0.074322,0.071963,0.000000,0.073965,0.074463,0.075233,0.073424,0.074769,0.074258,0.074521,0.073973,0.073728,0.074345,0.073446,0.073839,0.074368,0.075947,0.076025,0.072623,0.074737,0.075033,0.075988,0.075773,0.076963,0.075480,0.075090,0.076356,0.076806,0.076591,0.078304,0.078102,0.074131,0.075008,0.076575,0.074246,0.072050,0.002258,0.074110,0.074459,0.075130,0.073440,0.074726,0.074281,0.074607,0.074021,0.073757,0.074309,0.073474,0.073767,0.074296,0.075816,0.076098,0.072851,0.074600,0.075836,0.075960,0.075927,0.077016,0.075507,0.074920,0.076273,0.076712,0.076761,0.078346,0.078109
HAP1_chr07,0.071744,0.074586,0.076159,0.074001,0.073114,0.073965,0.000000,0.073785,0.074727,0.070405,0.074242,0.073451,0.075366,0.073090,0.072825,0.073230,0.072569,0.074465,0.073361,0.075052,0.074991,0.073505,0.073673,0.074146,0.075061,0.074729,0.076217,0.074506,0.073813,0.075358,0.075983,0.075785,0.077354,0.077043,0.071849,0.074581,0.076196,0.073878,0.073183,0.074040,0.002315,0.073755,0.074637,0.070426,0.074196,0.073460,0.075502,0.073223,0.072896,0.073270,0.072607,0.074373,0.073373,0.074922,0.075019,0.073791,0.073532,0.075007,0.075029,0.074848,0.076280,0.074669,0.073657,0.075332,0.075897,0.075749,0.077413,0.077071
HAP1_chr08,0.074000,0.075094,0.076564,0.074470,0.073745,0.074463,0.073785,0.000000,0.075050,0.073474,0.074964,0.074161,0.075957,0.072988,0.073665,0.073890,0.073358,0.075365,0.074259,0.075741,0.076011,0.074708,0.074597,0.072754,0.075672,0.075642,0.075952,0.074172,0.074702,0.076054,0.075978,0.076452,0.078076,0.077991,0.074028,0.075117,0.076559,0.074298,0.073892,0.074440,0.073901,0.002565,0.075024,0.073480,0.074902,0.074175,0.076096,0.073081,0.073716,0.073984,0.073373,0.075301,0.074250,0.075553,0.076051,0.074936,0.074440,0.073510,0.075585,0.075721,0.075981,0.074225,0.074556,0.075966,0.075883,0.076635,0.078064,0.078015
HAP1_chr09,0.074788,0.075683,0.077221,0.074198,0.074534,0.075233,0.074727,0.075050,0.000000,0.074433,0.075708,0.074975,0.076754,0.074789,0.074665,0.075055,0.074582,0.076176,0.072978,0.076475,0.077105,0.075697,0.075335,0.075324,0.076592,0.074960,0.077414,0.076147,0.075927,0.075979,0.077355,0.077329,0.076805,0.079001,0.074812,0.075700,0.077261,0.074100,0.074649,0.075200,0.074864,0.075116,0.001788,0.074412,0.075654,0.074984,0.076914,0.074903,0.074660,0.075100,0.074547,0.076081,0.073024,0.076362,0.077209,0.075877,0.075238,0.076019,0.076476,0.075048,0.077437,0.076314,0.075710,0.075858,0.077330,0.077476,0.076860,0.079054
HAP1_chr10,0.071465,0.074270,0.075999,0.073219,0.072258,0.073424,0.070405,0.073474,0.074433,0.000000,0.073653,0.072833,0.074969,0.072160,0.072184,0.072627,0.071726,0.073771,0.072652,0.074474,0.074507,0.072871,0.072762,0.073146,0.074493,0.074096,0.075388,0.073739,0.073154,0.074467,0.075424,0.074993,0.076601,0.076052,0.071513,0.074255,0.076066,0.073137,0.072381,0.073475,0.070490,0.073458,0.074361,0.002422,0.073660,0.072905,0.075062,0.072257,0.072210,0.072620,0.071792,0.073734,0.072622,0.074344,0.074576,0.073044,0.072640,0.073928,0.074451,0.074206,0.075433,0.073858,0.072963,0.074462,0.075271,0.075239,0.076634,0.076081
