chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.001913	chr03	0.101563	-5.673	1.18955e-07	103.79
chr02	2	0.002640					
chr03	2	0.000044	chr01	0.101563	-5.673	1.18955e-07	103.79
chr04	2	0.001157	chr18	0.090856	-9.431	0	114.65
chr05	2	0.000187	chr06	0.093409	-8.535	0	176.58
chr06	2	0.000871	chr05	0.093409	-8.535	0	176.58
chr07	2	0.001702	chr08	0.086682	-10.896	0	78.02
chr08	2	0.000520	chr07	0.086682	-10.896	0	78.02
chr09	2	0.000183	chr12	0.087003	-10.783	0	698.82
chr10	2	0.000151	chr13	0.100213	-6.147	8.61577e-09	293.88
chr11	2	0.000107	chr17	0.091511	-9.201	0	1564.29
chr12	2	0.000066	chr09	0.087003	-10.783	0	698.82
chr13	2	0.000531	chr10	0.100213	-6.147	8.61577e-09	293.88
chr14	2	0.000048	chr15	0.088779	-10.160	0	1038.35
chr15	2	0.000123	chr14	0.088779	-10.160	0	1038.35
chr16	2	0.000416					
chr17	2	0.000010	chr11	0.091511	-9.201	0	1564.29
chr18	2	0.000428	chr04	0.090856	-9.431	0	114.65
