chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr01	chr03	0.113030	-7.526	2.61458e-14	7.32081e-13	True
chr07	chr08	0.122613	-2.662	0.00387833	0.0542966	False
chr05	chr08	0.124135	-1.890	0.0293665	0.274087	False
chr06	chr08	0.124787	-1.559	0.0594501	0.346168	False
chr01	chr08	0.124826	-1.540	0.0618158	0.346168	False
chr05	chr07	0.125433	-1.231	0.109113	0.495737	False
chr01	chr05	0.125582	-1.156	0.123934	0.495737	False
chr01	chr06	0.125999	-0.944	0.172545	0.603906	False
chr01	chr07	0.126364	-0.759	0.223925	0.667008	False
chr06	chr07	0.126469	-0.706	0.240222	0.667008	False
chr05	chr06	0.126604	-0.637	0.262039	0.667008	False
chr03	chr08	0.126780	-0.548	0.291867	0.681024	False
chr04	chr08	0.127931	0.036	0.514512	0.922223	False
chr03	chr05	0.127986	0.064	0.525646	0.922223	False
chr02	chr08	0.128049	0.096	0.538423	0.922223	False
chr03	chr06	0.128291	0.219	0.58681	0.922223	False
chr03	chr07	0.128442	0.296	0.616306	0.922223	False
chr04	chr07	0.128513	0.332	0.630002	0.922223	False
chr01	chr02	0.128915	0.536	0.703981	0.922223	False
chr01	chr04	0.129008	0.583	0.720018	0.922223	False
chr04	chr05	0.129185	0.673	0.749459	0.922223	False
chr02	chr05	0.129193	0.677	0.750699	0.922223	False
chr04	chr06	0.129327	0.745	0.771773	0.922223	False
chr02	chr07	0.129451	0.808	0.790477	0.922223	False
chr02	chr06	0.129928	1.050	0.853114	0.955487	False
chr03	chr04	0.130463	1.321	0.906817	0.965634	False
chr02	chr04	0.131235	1.713	0.956661	0.965634	False
chr02	chr03	0.131446	1.820	0.965634	0.965634	False
