unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	15959	37	46480	30569
HAP1_chr02	HAP2_chr02	chr02	9907	33	31299	21427
HAP1_chr03	HAP2_chr03	chr03	21582	1	37937	16743
HAP1_chr04	HAP2_chr04	chr04	13872	22	28811	14985
HAP1_chr05	HAP2_chr05	chr05	5160	379	33508	28727
HAP1_chr06	HAP2_chr06	chr06	7915	224	26008	18317
HAP1_chr07	HAP2_chr07	chr07	7508	197	28769	21498
HAP1_chr08	HAP2_chr08	chr08	8515	66	29058	20620
HAP1_chr09	HAP2_chr09	chr09	7724	473	25403	17837
HAP1_chr10	HAP2_chr10	chr10	3745	643	23122	20193
HAP1_chr11	HAP2_chr11	chr11	4501	967	19712	16047
HAP1_chr12	HAP2_chr12	chr12	9087	1262	23820	15669
HAP1_chr13	HAP2_chr13	chr13	14124	42	25756	12186
HAP1_chr14	HAP2_chr14	chr14	9164	22	19520	10392
HAP1_chr15	HAP2_chr15	chr15	4072	456	20195	16581
HAP1_chr16	HAP2_chr16	chr16	1897	1173	22420	21728
HAP1_chr17	HAP2_chr17	chr17	3045	556	18632	16143
HAP1_chr18	HAP2_chr18	chr18	3519	211	17414	14219
HAP1_chr19	HAP2_chr19	chr19	2585	182	6449	4059
HAP1_chr20	HAP2_chr20	chr20	4561	680	9301	5529
HAP1_chr21	HAP2_chr21	chr21	991	355	6136	5638
HAP1_chr22	HAP2_chr22	chr22	339	1006	4553	4877
HAP1_chr23	HAP2_chr23	chr23	532	381	5194	5046
HAP1_chr24	HAP2_chr24	chr24	2038	24	4872	3157
HAP1_chr25	HAP2_chr25	chr25	456	751	3944	4239
HAP1_chr26	HAP2_chr26	chr26	1140	38	4738	3860
HAP1_chr27	HAP2_chr27	chr27	1836	104	4060	2328
HAP1_chr28	HAP2_chr28	chr28	681	646	2998	2807
HAP1_chr29	HAP2_chr29	chr29	505	214	4298	4014
HAP1_chr30	HAP2_chr30	chr30	513	416	4156	4054
HAP1_chr31	HAP2_chr31	chr31	636	364	5230	4989
HAP1_chr32	HAP2_chr32	chr32	2221	76	4272	2127
HAP1_chr33	HAP2_chr33	chr33	1198	231	3766	3140
HAP1_chr34	HAP2_chr34	chr34	77	821	3740	4404
HAP1_chr35	HAP2_chr35	chr35	2123	29	4186	2315
HAP1_chr36	HAP2_chr36	chr36	949	194	2336	1784
