unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	15959	37	46480	30569	0.207608	0.017806
HAP1_chr02	HAP2_chr02	chr02	9907	33	31299	21427	0.188522	0.158386
HAP1_chr03	HAP2_chr03	chr03	21582	1	37937	16743	0.394715	0.151276
HAP1_chr04	HAP2_chr04	chr04	13872	22	28811	14985	0.317244	0.180251
HAP1_chr05	HAP2_chr05	chr05	5160	379	33508	28727	0.089001	0.154083
HAP1_chr06	HAP2_chr06	chr06	7915	224	26008	18317	0.183621	0.013918
HAP1_chr07	HAP2_chr07	chr07	7508	197	28769	21498	0.153281	0.078557
HAP1_chr08	HAP2_chr08	chr08	8515	66	29058	20620	0.172732	0.017931
HAP1_chr09	HAP2_chr09	chr09	7724	473	25403	17837	0.189570	0.234744
HAP1_chr10	HAP2_chr10	chr10	3745	643	23122	20193	0.101304	0.035151
HAP1_chr11	HAP2_chr11	chr11	4501	967	19712	16047	0.152913	0.124125
HAP1_chr12	HAP2_chr12	chr12	9087	1262	23820	15669	0.262073	0.172814
HAP1_chr13	HAP2_chr13	chr13	14124	42	25756	12186	0.373359	0.221959
HAP1_chr14	HAP2_chr14	chr14	9164	22	19520	10392	0.307101	0.103198
HAP1_chr15	HAP2_chr15	chr15	4072	456	20195	16581	0.123124	0.185216
HAP1_chr16	HAP2_chr16	chr16	1897	1173	22420	21728	0.069539	0.166615
HAP1_chr17	HAP2_chr17	chr17	3045	556	18632	16143	0.103551	0.201221
HAP1_chr18	HAP2_chr18	chr18	3519	211	17414	14219	0.117915	0.016281
HAP1_chr19	HAP2_chr19	chr19	2585	182	6449	4059	0.263323	0.199904
HAP1_chr20	HAP2_chr20	chr20	4561	680	9301	5529	0.353405	0.088464
HAP1_chr21	HAP2_chr21	chr21	991	355	6136	5638	0.114320	0.318491
HAP1_chr22	HAP2_chr22	chr22	339	1006	4553	4877	0.142630	0.261905
HAP1_chr23	HAP2_chr23	chr23	532	381	5194	5046	0.089160	0.205437
HAP1_chr24	HAP2_chr24	chr24	2038	24	4872	3157	0.256819	0.076941
HAP1_chr25	HAP2_chr25	chr25	456	751	3944	4239	0.147501	0.223954
HAP1_chr26	HAP2_chr26	chr26	1140	38	4738	3860	0.137009	0.156879
HAP1_chr27	HAP2_chr27	chr27	1836	104	4060	2328	0.303694	0.129390
HAP1_chr28	HAP2_chr28	chr28	681	646	2998	2807	0.228596	0.012702
HAP1_chr29	HAP2_chr29	chr29	505	214	4298	4014	0.086501	0.184055
HAP1_chr30	HAP2_chr30	chr30	513	416	4156	4054	0.113155	0.073468
HAP1_chr31	HAP2_chr31	chr31	636	364	5230	4989	0.097857	0.263360
HAP1_chr32	HAP2_chr32	chr32	2221	76	4272	2127	0.358962	0.171084
HAP1_chr33	HAP2_chr33	chr33	1198	231	3766	3140	0.206922	0.228027
HAP1_chr34	HAP2_chr34	chr34	77	821	3740	4404	0.110265	0.158021
HAP1_chr35	HAP2_chr35	chr35	2123	29	4186	2315	0.331026	0.040073
HAP1_chr36	HAP2_chr36	chr36	949	194	2336	1784	0.277427	0.329793
