chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	4	0.018281					
chr02	4	0.017205					
chr03	4	0.018384					
chr04	2	0.010849					
chr05	4	0.015821					
chr06	4	0.015645					
chr07	4	0.016004					
chr08	2	0.010091					
chr09	4	0.016754					
chr10	4	0.016511					
chr11	2	0.015034					
chr12	4	0.016907					
chr13	4	0.014758					
chr14	2	0.015466					
chr15	2	0.012658					
chr16	2	0.010444					
chr17	4	0.016958					
chr18	4	0.018277					
chr19	2	0.011207					
chr20	2	0.010465					
chr21	4	0.018359					
chr22	2	0.015031					
chr23	2	0.011064					
chr24	4	0.017210					
chr25	4	0.017237					
