chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr10	chr14	0.067949	-3.946	3.96744e-05	0.00416581	True
chr07	chr09	0.073309	-3.666	0.000123035	0.0057727	True
chr04	chr11	0.075300	-3.562	0.000183815	0.0057727	True
chr06	chr08	0.076206	-3.515	0.000219912	0.0057727	True
chr02	chr12	0.077949	-3.424	0.000308657	0.00648179	True
chr01	chr05	0.086729	-2.965	0.0015126	0.0264706	True
chr03	chr13	0.088830	-2.855	0.00214917	0.0322376	True
chr03	chr15	0.091726	-2.704	0.00342461	0.044948	False
chr01	chr04	0.106415	-1.937	0.026395	0.307941	False
chr01	chr07	0.111313	-1.681	0.0464076	0.467215	False
chr01	chr08	0.113220	-1.581	0.056928	0.467215	False
chr02	chr15	0.113461	-1.569	0.0583816	0.467215	False
chr05	chr06	0.113576	-1.562	0.0590855	0.467215	False
chr04	chr07	0.114637	-1.507	0.0658973	0.467215	False
chr01	chr02	0.114763	-1.500	0.0667451	0.467215	False
chr04	chr08	0.116555	-1.407	0.0797354	0.489763	False
chr01	chr03	0.116622	-1.403	0.0802558	0.489763	False
chr05	chr11	0.117430	-1.361	0.0867351	0.489763	False
chr02	chr04	0.118003	-1.331	0.0915615	0.489763	False
chr03	chr04	0.119045	-1.277	0.100844	0.489763	False
chr05	chr13	0.119239	-1.267	0.102645	0.489763	False
chr07	chr08	0.119805	-1.237	0.108034	0.489763	False
chr06	chr11	0.120155	-1.219	0.111467	0.489763	False
chr05	chr09	0.121601	-1.143	0.126474	0.489763	False
chr01	chr10	0.122008	-1.122	0.130941	0.489763	False
chr02	chr07	0.122241	-1.110	0.133547	0.489763	False
chr04	chr10	0.122588	-1.092	0.137494	0.489763	False
chr06	chr13	0.122670	-1.087	0.138438	0.489763	False
chr02	chr08	0.123235	-1.058	0.145063	0.489763	False
chr03	chr07	0.123437	-1.047	0.147483	0.489763	False
chr02	chr03	0.123575	-1.040	0.149151	0.489763	False
chr06	chr09	0.123832	-1.027	0.152292	0.489763	False
chr03	chr08	0.124167	-1.009	0.156451	0.489763	False
chr11	chr13	0.124337	-1.000	0.15859	0.489763	False
chr09	chr11	0.125847	-0.921	0.178427	0.533396	False
chr07	chr10	0.126171	-0.904	0.182879	0.533396	False
chr08	chr10	0.127019	-0.860	0.194855	0.552966	False
chr09	chr13	0.128223	-0.797	0.212656	0.587603	False
chr02	chr10	0.129156	-0.748	0.227082	0.611373	False
chr03	chr10	0.129913	-0.709	0.23918	0.627848	False
chr05	chr12	0.130964	-0.654	0.256546	0.657008	False
chr05	chr14	0.131342	-0.634	0.262949	0.657372	False
chr06	chr12	0.132162	-0.591	0.277113	0.66988	False
chr06	chr14	0.132367	-0.581	0.280712	0.66988	False
chr11	chr12	0.134095	-0.490	0.311909	0.72208	False
chr11	chr14	0.134334	-0.478	0.31634	0.72208	False
chr12	chr13	0.136441	-0.368	0.356483	0.796399	False
chr09	chr12	0.136831	-0.347	0.364108	0.796487	False
chr09	chr14	0.137530	-0.311	0.377908	0.809804	False
chr13	chr14	0.137962	-0.288	0.386517	0.811686	False
chr05	chr15	0.139542	-0.206	0.418451	0.85357	False
chr06	chr15	0.139751	-0.195	0.422721	0.85357	False
chr11	chr15	0.140967	-0.131	0.447727	0.887006	False
chr13	chr15	0.142514	-0.051	0.47983	0.931379	False
chr12	chr14	0.144141	0.034	0.513731	0.931379	False
chr09	chr15	0.145012	0.080	0.531854	0.931379	False
chr02	chr13	0.145517	0.106	0.542334	0.931379	False
chr03	chr12	0.146816	0.174	0.56914	0.931379	False
chr12	chr15	0.147507	0.210	0.583278	0.931379	False
chr14	chr15	0.148699	0.273	0.607406	0.931379	False
chr01	chr06	0.149958	0.338	0.632448	0.931379	False
chr04	chr05	0.150679	0.376	0.646547	0.931379	False
chr01	chr11	0.150907	0.388	0.650965	0.931379	False
chr04	chr06	0.152134	0.452	0.674377	0.931379	False
chr05	chr08	0.154781	0.590	0.722515	0.931379	False
chr06	chr07	0.154988	0.601	0.726128	0.931379	False
chr05	chr07	0.155552	0.631	0.735853	0.931379	False
chr07	chr11	0.155925	0.650	0.742186	0.931379	False
chr01	chr13	0.156590	0.685	0.753279	0.931379	False
chr08	chr11	0.157132	0.713	0.762127	0.931379	False
chr01	chr09	0.157941	0.755	0.775004	0.931379	False
chr04	chr13	0.158213	0.770	0.779243	0.931379	False
chr01	chr12	0.158651	0.793	0.785973	0.931379	False
chr02	chr05	0.158871	0.804	0.789307	0.931379	False
chr03	chr06	0.158902	0.806	0.789774	0.931379	False
chr02	chr11	0.159024	0.812	0.791608	0.931379	False
chr02	chr06	0.159136	0.818	0.793283	0.931379	False
chr03	chr11	0.159227	0.823	0.794638	0.931379	False
chr04	chr09	0.159259	0.824	0.795113	0.931379	False
chr03	chr05	0.159450	0.834	0.797936	0.931379	False
chr08	chr13	0.160397	0.884	0.811584	0.931379	False
chr07	chr13	0.160543	0.891	0.813636	0.931379	False
chr04	chr12	0.160995	0.915	0.819902	0.931379	False
chr10	chr11	0.161847	0.960	0.831348	0.931379	False
chr07	chr12	0.162400	0.988	0.838521	0.931379	False
chr06	chr10	0.162477	0.992	0.839504	0.931379	False
chr08	chr09	0.162566	0.997	0.840635	0.931379	False
chr05	chr10	0.163527	1.047	0.852515	0.931379	False
chr08	chr12	0.163813	1.062	0.855933	0.931379	False
chr02	chr09	0.163892	1.066	0.856867	0.931379	False
chr01	chr14	0.164936	1.121	0.868834	0.931379	False
chr03	chr09	0.165478	1.149	0.874766	0.931379	False
chr04	chr14	0.166108	1.182	0.881423	0.931379	False
chr10	chr12	0.167386	1.249	0.894149	0.931379	False
chr10	chr13	0.167672	1.264	0.896857	0.931379	False
chr09	chr10	0.167708	1.266	0.897194	0.931379	False
chr01	chr15	0.167848	1.273	0.898498	0.931379	False
chr07	chr14	0.167976	1.280	0.899679	0.931379	False
chr08	chr14	0.168350	1.299	0.903074	0.931379	False
chr04	chr15	0.169401	1.354	0.91216	0.931379	False
chr07	chr15	0.169938	1.382	0.91655	0.931379	False
chr02	chr14	0.170185	1.395	0.918513	0.931379	False
chr08	chr15	0.170630	1.418	0.921961	0.931379	False
chr03	chr14	0.170702	1.422	0.922509	0.931379	False
chr10	chr15	0.174917	1.642	0.949743	0.949743	False
