chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	1		chr05	0.086729	-2.965	0.0264706	
chr02	1		chr12	0.077949	-3.424	0.00648179	
chr03	1		chr13	0.088830	-2.855	0.0322376	
chr04	1		chr11	0.075300	-3.562	0.0057727	
chr05	1		chr01	0.086729	-2.965	0.0264706	
chr06	1		chr08	0.076206	-3.515	0.0057727	
chr07	1		chr09	0.073309	-3.666	0.0057727	
chr08	1		chr06	0.076206	-3.515	0.0057727	
chr09	1		chr07	0.073309	-3.666	0.0057727	
chr10	1		chr14	0.067949	-3.946	0.00416581	
chr11	1		chr04	0.075300	-3.562	0.0057727	
chr12	1		chr02	0.077949	-3.424	0.00648179	
chr13	1		chr03	0.088830	-2.855	0.0322376	
chr14	1		chr10	0.067949	-3.946	0.00416581	
chr15	1						
