,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07
HAP1_chr01,0.000000,0.069813,0.069539,0.069406,0.069883,0.069314,0.069446,0.001061,0.069827,0.069613,0.069382,0.069904,0.069313,0.069534
HAP1_chr02,0.069813,0.000000,0.069354,0.069877,0.070164,0.069723,0.069653,0.069787,0.000333,0.069413,0.069906,0.070202,0.069815,0.069675
HAP1_chr03,0.069539,0.069354,0.000000,0.069488,0.069801,0.069382,0.069417,0.069515,0.069371,0.000764,0.069497,0.069792,0.069498,0.069425
HAP1_chr04,0.069406,0.069877,0.069488,0.000000,0.070099,0.069568,0.069433,0.069406,0.069881,0.069533,0.000604,0.070149,0.069627,0.069519
HAP1_chr05,0.069883,0.070164,0.069801,0.070099,0.000000,0.069742,0.069901,0.069853,0.070190,0.069855,0.070104,0.000436,0.069789,0.069922
HAP1_chr06,0.069314,0.069723,0.069382,0.069568,0.069742,0.000000,0.069419,0.069334,0.069734,0.069430,0.069581,0.069778,0.000812,0.069481
HAP1_chr07,0.069446,0.069653,0.069417,0.069433,0.069901,0.069419,0.000000,0.069443,0.069658,0.069471,0.069431,0.069939,0.069482,0.001041
HAP2_chr01,0.001061,0.069787,0.069515,0.069406,0.069853,0.069334,0.069443,0.000000,0.069799,0.069577,0.069381,0.069871,0.069336,0.069519
HAP2_chr02,0.069827,0.000333,0.069371,0.069881,0.070190,0.069734,0.069658,0.069799,0.000000,0.069430,0.069904,0.070228,0.069822,0.069684
HAP2_chr03,0.069613,0.069413,0.000764,0.069533,0.069855,0.069430,0.069471,0.069577,0.069430,0.000000,0.069543,0.069891,0.069547,0.069478
HAP2_chr04,0.069382,0.069906,0.069497,0.000604,0.070104,0.069581,0.069431,0.069381,0.069904,0.069543,0.000000,0.070147,0.069637,0.069529
HAP2_chr05,0.069904,0.070202,0.069792,0.070149,0.000436,0.069778,0.069939,0.069871,0.070228,0.069891,0.070147,0.000000,0.069823,0.069962
HAP2_chr06,0.069313,0.069815,0.069498,0.069627,0.069789,0.000812,0.069482,0.069336,0.069822,0.069547,0.069637,0.069823,0.000000,0.069551
HAP2_chr07,0.069534,0.069675,0.069425,0.069519,0.069922,0.069481,0.001041,0.069519,0.069684,0.069478,0.069529,0.069962,0.069551,0.000000
