unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	1765989	1886439	1920340	0.865346	0.936150	0.006811	False	29.3666
HAP1_chr01	HAP1_chr02	13	3728280	7821184	8428999	0.297741	0.476690	0.059924	False	1258.1813
HAP1_chr01	HAP1_chr02	15	2238678	11404905	12419967	0.103709	0.196291	0.111446	False	3844.6795
HAP1_chr01	HAP1_chr02	17	1515949	12657945	13713399	0.060991	0.119763	0.127241	False	10521.9742
HAP1_chr01	HAP1_chr02	19	1286733	13280126	14306745	0.048925	0.096892	0.124847	False	34570.4481
HAP1_chr01	HAP1_chr02	23	1111370	14117922	15084850	0.039563	0.078721	0.111979	False	451726.2408
HAP1_chr01	HAP1_chr03	11	1863331	1886439	2053650	0.897231	0.987750	0.005063	False	11.7890
HAP1_chr01	HAP1_chr03	13	5473146	7821184	13549884	0.344268	0.699785	0.051464	False	1302.5261
HAP1_chr01	HAP1_chr03	15	4201097	11404905	24158991	0.133952	0.368359	0.096189	False	5147.8579
HAP1_chr01	HAP1_chr03	17	3067912	12657945	27776168	0.082104	0.242370	0.110913	False	14961.9068
HAP1_chr01	HAP1_chr03	19	2607793	13280126	29115814	0.065542	0.196368	0.110284	False	49112.6866
HAP1_chr01	HAP1_chr03	23	2172419	14117922	30400416	0.051302	0.153877	0.101170	False	622000.7437
HAP1_chr01	HAP1_chr04	11	1770771	1886439	1926911	0.866929	0.938684	0.006722	False	28.4592
HAP1_chr01	HAP1_chr04	13	3781112	7821184	8611725	0.298860	0.483445	0.059702	False	1251.9894
HAP1_chr01	HAP1_chr04	15	2285427	11404905	12815039	0.104193	0.200390	0.111165	False	3858.4656
HAP1_chr01	HAP1_chr04	17	1562198	12657945	14192288	0.061776	0.123416	0.126531	False	10657.8583
HAP1_chr01	HAP1_chr04	19	1339809	13280126	14824135	0.050059	0.100888	0.123697	False	35362.8679
HAP1_chr01	HAP1_chr04	23	1173944	14117922	15637501	0.041074	0.083153	0.110413	False	468652.4560
HAP1_chr01	HAP1_chr05	11	1849972	1886439	2036425	0.892459	0.980669	0.005319	False	13.4164
HAP1_chr01	HAP1_chr05	13	4826788	7821184	12402247	0.313496	0.617143	0.056886	False	1138.6331
HAP1_chr01	HAP1_chr05	15	3004531	11404905	21097725	0.101855	0.263442	0.112537	False	3818.4834
HAP1_chr01	HAP1_chr05	17	1951866	12657945	23978351	0.056275	0.154201	0.131712	False	10195.7634
