chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr10	chr12	0.102735	-2.479	0.00659677	0.514548	False
chr01	chr07	0.103045	-2.181	0.0145885	0.526489	False
chr01	chr05	0.103307	-1.930	0.0268205	0.526489	False
chr07	chr10	0.103310	-1.927	0.0269994	0.526489	False
chr05	chr10	0.103479	-1.765	0.0388065	0.605382	False
chr05	chr07	0.103654	-1.597	0.0551539	0.686126	False
chr01	chr04	0.103743	-1.511	0.0653402	0.686126	False
chr04	chr07	0.103821	-1.437	0.0754171	0.686126	False
chr09	chr10	0.103848	-1.411	0.0791684	0.686126	False
chr01	chr02	0.103992	-1.273	0.101592	0.70551	False
chr10	chr13	0.104006	-1.259	0.103997	0.70551	False
chr06	chr10	0.104063	-1.204	0.114214	0.70551	False
chr05	chr06	0.104081	-1.187	0.117585	0.70551	False
chr04	chr10	0.104139	-1.132	0.128922	0.71828	False
chr07	chr12	0.104227	-1.047	0.147533	0.765475	False
chr01	chr10	0.104269	-1.007	0.157021	0.765475	False
chr10	chr11	0.104368	-0.912	0.180938	0.828605	False
chr02	chr10	0.104408	-0.873	0.191217	0.828605	False
chr04	chr05	0.104493	-0.792	0.214217	0.855824	False
chr07	chr09	0.104519	-0.767	0.221562	0.855824	False
chr12	chr13	0.104574	-0.714	0.237564	0.855824	False
chr01	chr12	0.104678	-0.614	0.269481	0.855824	False
chr01	chr06	0.104681	-0.612	0.270433	0.855824	False
chr02	chr05	0.104681	-0.612	0.270433	0.855824	False
chr02	chr07	0.104709	-0.585	0.279394	0.855824	False
chr05	chr12	0.104755	-0.541	0.294423	0.855824	False
chr06	chr07	0.104786	-0.511	0.304757	0.855824	False
chr03	chr10	0.104887	-0.414	0.339485	0.855824	False
chr02	chr06	0.104905	-0.397	0.345832	0.855824	False
chr02	chr04	0.104912	-0.390	0.348311	0.855824	False
chr07	chr13	0.104954	-0.350	0.363324	0.855824	False
chr01	chr03	0.104972	-0.332	0.369824	0.855824	False
chr08	chr10	0.104975	-0.329	0.370911	0.855824	False
chr06	chr12	0.104997	-0.308	0.378914	0.855824	False
chr04	chr12	0.105049	-0.258	0.398032	0.855824	False
chr02	chr03	0.105075	-0.234	0.407686	0.855824	False
chr03	chr07	0.105087	-0.222	0.412162	0.855824	False
chr03	chr05	0.105109	-0.201	0.420396	0.855824	False
chr04	chr06	0.105129	-0.182	0.427912	0.855824	False
chr07	chr08	0.105273	-0.044	0.482636	0.89427	False
chr03	chr06	0.105274	-0.043	0.483018	0.89427	False
chr09	chr13	0.105305	-0.013	0.494878	0.89427	False
chr07	chr11	0.105313	-0.005	0.49794	0.89427	False
chr05	chr09	0.105356	0.036	0.514395	0.89427	False
chr04	chr13	0.105360	0.040	0.515925	0.89427	False
chr09	chr12	0.105477	0.152	0.560477	0.929441	False
chr06	chr09	0.105540	0.213	0.584189	0.929441	False
chr08	chr12	0.105673	0.340	0.633155	0.929441	False
chr03	chr04	0.105693	0.359	0.640356	0.929441	False
chr05	chr13	0.105719	0.384	0.649642	0.929441	False
chr05	chr11	0.105780	0.443	0.671073	0.929441	False
chr02	chr09	0.105807	0.469	0.680387	0.929441	False
chr06	chr08	0.105814	0.475	0.682784	0.929441	False
chr04	chr09	0.105839	0.499	0.69128	0.929441	False
chr05	chr08	0.105879	0.538	0.704663	0.929441	False
chr06	chr13	0.105882	0.541	0.705655	0.929441	False
chr02	chr12	0.106031	0.684	0.752914	0.929441	False
chr01	chr11	0.106034	0.687	0.753822	0.929441	False
chr08	chr09	0.106046	0.698	0.757436	0.929441	False
chr03	chr08	0.106116	0.765	0.777935	0.929441	False
chr03	chr09	0.106126	0.775	0.78078	0.929441	False
chr11	chr12	0.106132	0.781	0.782477	0.929441	False
chr01	chr09	0.106195	0.841	0.799834	0.929441	False
chr01	chr08	0.106235	0.879	0.810409	0.929441	False
chr03	chr12	0.106243	0.887	0.812482	0.929441	False
chr08	chr13	0.106274	0.917	0.820382	0.929441	False
chr04	chr11	0.106284	0.926	0.822885	0.929441	False
chr02	chr08	0.106308	0.949	0.828802	0.929441	False
chr11	chr13	0.106321	0.962	0.831954	0.929441	False
chr06	chr11	0.106330	0.971	0.834114	0.929441	False
chr01	chr13	0.106482	1.116	0.86787	0.953434	False
chr04	chr08	0.106575	1.206	0.886015	0.959849	False
chr03	chr13	0.107053	1.664	0.951963	0.992037	False
chr02	chr11	0.107346	1.945	0.974131	0.992037	False
chr09	chr11	0.107388	1.986	0.976461	0.992037	False
chr02	chr13	0.107484	2.078	0.981131	0.992037	False
chr08	chr11	0.107737	2.320	0.989841	0.992037	False
chr03	chr11	0.107831	2.411	0.992037	0.992037	False
