,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr01,0.000000,0.098992,0.112032,0.101495,0.100269,0.101078,0.097305,0.107198,0.112477,0.098240,0.112339,0.099892,0.108860,0.110050,0.113578,0.066170,0.021073,0.099860,0.112221,0.100143,0.099827,0.100413,0.098027,0.106672,0.113035,0.099141,0.112495,0.100219,0.109601,0.110772,0.113951,0.066421
HAP1_chr02,0.098992,0.000000,0.114267,0.103585,0.102026,0.102283,0.098902,0.109494,0.115260,0.099625,0.115007,0.100806,0.110544,0.111775,0.061177,0.110867,0.099904,0.018737,0.113894,0.101250,0.102525,0.102469,0.098741,0.108447,0.114544,0.100288,0.114437,0.100421,0.109864,0.112479,0.061327,0.110705
HAP1_chr03,0.112032,0.114267,0.000000,0.061427,0.115840,0.116500,0.112439,0.101308,0.104947,0.113309,0.104544,0.114100,0.102117,0.102962,0.105274,0.102176,0.113778,0.115476,0.017376,0.061841,0.116444,0.116198,0.113771,0.100703,0.105457,0.114730,0.105917,0.114175,0.101969,0.104762,0.104690,0.102243
HAP1_chr04,0.101495,0.103585,0.061427,0.000000,0.104592,0.105145,0.102607,0.111775,0.116406,0.102929,0.116751,0.103875,0.114011,0.114376,0.116359,0.113688,0.102700,0.104088,0.061451,0.018713,0.104927,0.105669,0.102885,0.111354,0.115474,0.102621,0.116765,0.104321,0.113287,0.114869,0.116918,0.112733
HAP1_chr05,0.100269,0.102026,0.115840,0.104592,0.000000,0.103787,0.101374,0.110079,0.116379,0.102117,0.060406,0.103356,0.112594,0.112630,0.116461,0.111030,0.101273,0.103136,0.115639,0.103089,0.020637,0.103513,0.101227,0.110662,0.116299,0.102464,0.060303,0.103022,0.112841,0.113741,0.116694,0.111225
HAP1_chr06,0.101078,0.102283,0.116500,0.105145,0.103787,0.000000,0.101385,0.111085,0.060313,0.102581,0.116085,0.104148,0.113244,0.113663,0.116273,0.112843,0.101461,0.104008,0.116195,0.103973,0.104025,0.019766,0.101888,0.111417,0.060145,0.102078,0.115685,0.104452,0.113036,0.114011,0.114241,0.112395
HAP1_chr07,0.097305,0.098902,0.112439,0.102607,0.101374,0.101385,0.000000,0.063790,0.112890,0.098961,0.114169,0.100216,0.109519,0.110451,0.113922,0.109256,0.098334,0.101291,0.113886,0.101959,0.101821,0.101494,0.018463,0.064358,0.113725,0.099566,0.113331,0.100342,0.109325,0.112284,0.113608,0.108575
HAP1_chr08,0.107198,0.109494,0.101308,0.111775,0.110079,0.111085,0.063790,0.000000,0.101688,0.109082,0.101363,0.109856,0.098016,0.098745,0.101995,0.095462,0.108000,0.110410,0.100702,0.110714,0.110962,0.110376,0.063667,0.019137,0.101825,0.108675,0.100961,0.110265,0.098080,0.099373,0.101381,0.095329
HAP1_chr09,0.112477,0.115260,0.104947,0.116406,0.116379,0.060313,0.112890,0.101688,0.000000,0.113186,0.105400,0.115294,0.102352,0.103010,0.106591,0.100736,0.113511,0.117034,0.105585,0.115474,0.117337,0.060486,0.113251,0.101094,0.018332,0.114637,0.105816,0.115242,0.102331,0.105422,0.104241,0.100241
HAP1_chr10,0.098240,0.099625,0.113309,0.102929,0.102117,0.102581,0.098961,0.109082,0.113186,0.000000,0.113758,0.101448,0.062399,0.111202,0.113743,0.109613,0.099552,0.101600,0.114156,0.102422,0.101875,0.102301,0.099254,0.108654,0.114516,0.018613,0.113932,0.101210,0.062325,0.112143,0.113852,0.109971
HAP1_chr11,0.112339,0.115007,0.104544,0.116751,0.060406,0.116085,0.114169,0.101363,0.105400,0.113758,0.000000,0.114732,0.102789,0.104045,0.106441,0.101540,0.114307,0.115894,0.105820,0.115762,0.060277,0.115226,0.113529,0.100932,0.105791,0.114298,0.014009,0.114475,0.102770,0.104157,0.105972,0.101884
HAP1_chr12,0.099892,0.100806,0.114100,0.103875,0.103356,0.104148,0.100216,0.109856,0.115294,0.101448,0.114732,0.000000,0.110937,0.060684,0.115036,0.111312,0.101552,0.101847,0.114799,0.102526,0.103477,0.103783,0.100255,0.110002,0.114102,0.101614,0.114782,0.019826,0.110666,0.060716,0.114203,0.111211
