,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07
HAP1_chr01,0.000000,0.068806,0.068279,0.070369,0.068322,0.068252,0.069031,0.000259,0.068804,0.068273,0.070428,0.068379,0.068316,0.069213
HAP1_chr02,0.068806,0.000000,0.067987,0.069677,0.068123,0.068647,0.068701,0.068826,0.000098,0.067975,0.069711,0.068131,0.068677,0.069165
HAP1_chr03,0.068279,0.067987,0.000000,0.069679,0.067896,0.068270,0.068310,0.068301,0.067980,0.000125,0.069722,0.067929,0.068305,0.068726
HAP1_chr04,0.070369,0.069677,0.069679,0.000000,0.069961,0.070325,0.069444,0.070402,0.069665,0.069672,0.000311,0.069986,0.070342,0.069894
HAP1_chr05,0.068322,0.068123,0.067896,0.069961,0.000000,0.068467,0.068620,0.068361,0.068287,0.067882,0.069995,0.000247,0.068499,0.068935
HAP1_chr06,0.068252,0.068647,0.068270,0.070325,0.068467,0.000000,0.068984,0.068317,0.068645,0.068254,0.070372,0.068527,0.000400,0.069204
HAP1_chr07,0.069031,0.068701,0.068310,0.069444,0.068620,0.068984,0.000000,0.069046,0.068695,0.068304,0.069503,0.068626,0.069006,0.001523
HAP2_chr01,0.000259,0.068826,0.068301,0.070402,0.068361,0.068317,0.069046,0.000000,0.068825,0.068295,0.070460,0.068416,0.068378,0.069237
HAP2_chr02,0.068804,0.000098,0.067980,0.069665,0.068287,0.068645,0.068695,0.068825,0.000000,0.067968,0.069698,0.068311,0.068674,0.069161
HAP2_chr03,0.068273,0.067975,0.000125,0.069672,0.067882,0.068254,0.068304,0.068295,0.067968,0.000000,0.069707,0.067915,0.068290,0.068713
HAP2_chr04,0.070428,0.069711,0.069722,0.000311,0.069995,0.070372,0.069503,0.070460,0.069698,0.069707,0.000000,0.070018,0.070388,0.069956
HAP2_chr05,0.068379,0.068131,0.067929,0.069986,0.000247,0.068527,0.068626,0.068416,0.068311,0.067915,0.070018,0.000000,0.068556,0.068950
HAP2_chr06,0.068316,0.068677,0.068305,0.070342,0.068499,0.000400,0.069006,0.068378,0.068674,0.068290,0.070388,0.068556,0.000000,0.069230
HAP2_chr07,0.069213,0.069165,0.068726,0.069894,0.068935,0.069204,0.001523,0.069237,0.069161,0.068713,0.069956,0.068950,0.069230,0.000000
