,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15
HAP1_chr01,0.000000,0.097412,0.087389,0.124296,0.124631,0.126604,0.126333,0.126073,0.126791,0.125674,0.125321,0.131270,0.128825,0.126105,0.129697,0.097187,0.019437,0.087446,0.124685,0.125278,0.125754,0.130102,0.126654,0.122692,0.125710,0.128674,0.129257,0.130353,0.127099,0.129049,0.097234,0.020026,0.088460,0.124500,0.125895,0.126057,0.126236,0.127734,0.123743,0.125740,0.128868,0.129305,0.129380,0.126754,0.129955,0.099153,0.024177,0.089249,0.125374,0.125310,0.126259,0.126357,0.126080,0.124537,0.126178,0.125034,0.132071,0.130949,0.126807,0.128572
HAP1_chr02,0.097412,0.000000,0.098658,0.120886,0.122657,0.127662,0.123777,0.128138,0.124860,0.123995,0.127652,0.129243,0.130577,0.124733,0.126953,0.021010,0.097802,0.098565,0.122478,0.127371,0.122555,0.130785,0.124490,0.120014,0.123824,0.130825,0.127241,0.132114,0.124545,0.126286,0.021530,0.098208,0.098940,0.122490,0.127778,0.123007,0.127877,0.124771,0.120376,0.124237,0.130217,0.127618,0.130279,0.125183,0.127511,0.025547,0.102235,0.099568,0.122839,0.127132,0.124447,0.128743,0.123869,0.121413,0.124532,0.127227,0.129055,0.132414,0.125553,0.126729
HAP1_chr03,0.087389,0.098658,0.000000,0.120623,0.120996,0.127234,0.123008,0.125775,0.122757,0.121787,0.127012,0.127345,0.128868,0.124005,0.126005,0.098092,0.088067,0.022547,0.121197,0.126489,0.122419,0.129375,0.123289,0.118941,0.121968,0.128909,0.126359,0.129809,0.124641,0.125531,0.098455,0.088237,0.021276,0.120609,0.127215,0.122422,0.126023,0.123645,0.119085,0.121924,0.129589,0.126505,0.128827,0.124488,0.126460,0.100220,0.091806,0.023298,0.121377,0.126588,0.123392,0.126159,0.123098,0.120667,0.122617,0.126004,0.127592,0.130272,0.125329,0.125967
HAP1_chr04,0.124296,0.120886,0.120623,0.000000,0.120823,0.126967,0.122438,0.124785,0.121757,0.119919,0.102535,0.125404,0.127421,0.120991,0.104281,0.120550,0.124822,0.120298,0.119919,0.125758,0.121000,0.127940,0.120928,0.032607,0.120389,0.105478,0.125412,0.128545,0.121481,0.103436,0.120151,0.125475,0.120719,0.120610,0.126346,0.121762,0.124513,0.121889,0.027043,0.121130,0.102855,0.124834,0.127153,0.121566,0.103498,0.121320,0.122456,0.119291,0.120572,0.125876,0.122502,0.125073,0.120185,0.027057,0.120487,0.102763,0.126194,0.128421,0.121196,0.106067
HAP1_chr05,0.124631,0.122657,0.120996,0.120823,0.000000,0.104382,0.114663,0.100660,0.106930,0.121574,0.127446,0.125603,0.128435,0.122487,0.125015,0.121879,0.126251,0.120885,0.025952,0.105527,0.113605,0.101529,0.108057,0.119282,0.121254,0.129584,0.125047,0.129605,0.123068,0.124228,0.121923,0.125943,0.122217,0.023252,0.107563,0.113677,0.099578,0.106512,0.120117,0.121479,0.128870,0.124323,0.128839,0.123412,0.124921,0.122612,0.125048,0.120078,0.025551,0.103811,0.115239,0.101045,0.108124,0.121477,0.121735,0.125908,0.127352,0.130283,0.122563,0.124877
HAP1_chr06,0.126604,0.127662,0.127234,0.126967,0.104382,0.000000,0.101703,0.127844,0.124874,0.101023,0.128140,0.131856,0.131284,0.127671,0.130882,0.127628,0.128063,0.126343,0.104434,0.022631,0.105386,0.130829,0.124303,0.125710,0.101055,0.130076,0.131282,0.130787,0.128393,0.129987,0.126962,0.128058,0.127781,0.104479,0.022966,0.101391,0.127547,0.124929,0.125827,0.100905,0.130322,0.131389,0.129500,0.128808,0.130628,0.127934,0.125649,0.126190,0.110789,0.021091,0.102792,0.128688,0.122860,0.127517,0.104876,0.127371,0.132742,0.131433,0.128727,0.130436
HAP1_chr07,0.126333,0.123777,0.123008,0.122438,0.114663,0.101703,0.000000,0.125445,0.124630,0.106764,0.127769,0.127166,0.129306,0.124324,0.126369,0.123151,0.127736,0.122401,0.113821,0.100803,0.024999,0.128419,0.124693,0.120646,0.106677,0.130418,0.126626,0.130630,0.124423,0.125946,0.122903,0.128541,0.124048,0.114640,0.101326,0.020645,0.125437,0.125533,0.120903,0.106236,0.129473,0.126762,0.129385,0.125263,0.126668,0.123726,0.126329,0.122490,0.116525,0.101066,0.022413,0.127087,0.124693,0.122203,0.109365,0.126769,0.128367,0.130415,0.124411,0.125830
HAP1_chr08,0.126073,0.128138,0.125775,0.124785,0.100660,0.127844,0.125445,0.000000,0.102630,0.111157,0.125871,0.128075,0.128688,0.127105,0.128484,0.126904,0.127050,0.125728,0.104198,0.127334,0.124681,0.023291,0.103911,0.121380,0.111276,0.128143,0.127634,0.129831,0.126917,0.128531,0.126498,0.126647,0.127183,0.101342,0.127466,0.124926,0.022143,0.103026,0.123530,0.111623,0.128066,0.126876,0.128758,0.127364,0.128754,0.126504,0.124764,0.124989,0.099427,0.126895,0.125407,0.021547,0.104301,0.124570,0.110940,0.125915,0.127990,0.129791,0.126584,0.129009
HAP1_chr09,0.126791,0.124860,0.122757,0.121757,0.106930,0.124874,0.124630,0.102630,0.000000,0.114469,0.127914,0.128541,0.130107,0.124603,0.126634,0.123938,0.128432,0.123013,0.109607,0.124767,0.123760,0.102768,0.023611,0.119754,0.115139,0.129679,0.127363,0.131311,0.125039,0.126544,0.123854,0.128722,0.123852,0.106391,0.124589,0.124316,0.103413,0.019471,0.120886,0.115158,0.130055,0.127561,0.130017,0.125903,0.127451,0.124296,0.125614,0.122194,0.107033,0.123268,0.124813,0.102013,0.021744,0.122289,0.114685,0.127264,0.129476,0.131947,0.124908,0.126164
HAP1_chr10,0.125674,0.123995,0.121787,0.119919,0.121574,0.101023,0.106764,0.111157,0.114469,0.000000,0.127016,0.127062,0.128483,0.122233,0.124921,0.122971,0.126725,0.121912,0.120289,0.100799,0.110410,0.113418,0.114570,0.118492,0.022042,0.127921,0.126566,0.129756,0.122986,0.123080,0.122744,0.127029,0.122405,0.121267,0.100170,0.106683,0.115227,0.115873,0.118938,0.021370,0.129410,0.125810,0.128893,0.123368,0.124891,0.123441,0.125600,0.120788,0.121174,0.100820,0.106595,0.111959,0.113850,0.120763,0.023095,0.125871,0.127494,0.129794,0.122233,0.124080
