unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	6311	9407	18407	21179
HAP1_chr01	HAP3_chr01	chr01	2500	4649	18407	18844
HAP1_chr01	HAP4_chr01	chr01	6613	7209	18407	18707
HAP2_chr01	HAP3_chr01	chr01	8872	6528	21179	18844
HAP2_chr01	HAP4_chr01	chr01	5811	2216	21179	18707
HAP3_chr01	HAP4_chr01	chr01	6703	6687	18844	18707
HAP1_chr02	HAP2_chr02	chr02	4494	2034	13493	12002
HAP1_chr02	HAP3_chr02	chr02	3802	2974	13493	13076
HAP1_chr02	HAP4_chr02	chr02	5197	1960	13493	10441
HAP2_chr02	HAP3_chr02	chr02	731	1853	12002	13076
HAP2_chr02	HAP4_chr02	chr02	3559	2185	12002	10441
HAP3_chr02	HAP4_chr02	chr02	4625	2073	13076	10441
HAP1_chr03	HAP2_chr03	chr03	10648	3963	17293	11970
HAP1_chr03	HAP3_chr03	chr03	3062	1549	17293	16208
HAP1_chr03	HAP4_chr03	chr03	7802	5832	17293	16708
HAP2_chr03	HAP3_chr03	chr03	4028	8881	11970	16208
HAP2_chr03	HAP4_chr03	chr03	2319	6935	11970	16708
HAP3_chr03	HAP4_chr03	chr03	6582	7064	16208	16708
HAP1_chr04	HAP2_chr04	chr04	3373	2410	10278	10015
HAP1_chr04	HAP3_chr04	chr04	570	1421	10278	10848
HAP1_chr04	HAP4_chr04	chr04	3751	2743	10278	9881
HAP2_chr04	HAP3_chr04	chr04	2313	3984	10015	10848
HAP2_chr04	HAP4_chr04	chr04	1484	1307	10015	9881
HAP3_chr04	HAP4_chr04	chr04	4410	2659	10848	9881
HAP1_chr05	HAP2_chr05	chr05	4710	512	10518	8846
HAP1_chr05	HAP3_chr05	chr05	2159	1405	10518	9689
HAP1_chr05	HAP4_chr05	chr05	5701	2203	10518	6913
HAP2_chr05	HAP3_chr05	chr05	666	4048	8846	9689
HAP2_chr05	HAP4_chr05	chr05	3813	2084	8846	6913
HAP3_chr05	HAP4_chr05	chr05	4372	1997	9689	6913
HAP1_chr06	HAP2_chr06	chr06	517	509	10368	10349
HAP1_chr06	HAP3_chr06	chr06	2366	1184	10368	9529
HAP1_chr06	HAP4_chr06	chr06	2623	1333	10368	9416
HAP2_chr06	HAP3_chr06	chr06	2355	1113	10349	9529
HAP2_chr06	HAP4_chr06	chr06	2665	1253	10349	9416
HAP3_chr06	HAP4_chr06	chr06	885	801	9529	9416
HAP1_chr07	HAP2_chr07	chr07	3967	2456	9827	8108
HAP1_chr07	HAP3_chr07	chr07	4684	686	9827	6182
HAP1_chr07	HAP4_chr07	chr07	4125	2555	9827	8043
HAP2_chr07	HAP3_chr07	chr07	2693	455	8108	6182
HAP2_chr07	HAP4_chr07	chr07	1545	1432	8108	8043
HAP3_chr07	HAP4_chr07	chr07	608	2793	6182	8043
HAP1_chr08	HAP2_chr08	chr08	4281	1310	10368	8676
HAP1_chr08	HAP3_chr08	chr08	3903	176	10368	8903
HAP1_chr08	HAP4_chr08	chr08	4868	471	10368	8185
HAP2_chr08	HAP3_chr08	chr08	4406	1065	8676	8903
HAP2_chr08	HAP4_chr08	chr08	3456	666	8676	8185
HAP3_chr08	HAP4_chr08	chr08	1578	657	8903	8185
HAP1_chr09	HAP2_chr09	chr09	4443	141	9136	4886
HAP1_chr09	HAP3_chr09	chr09	835	945	9136	9201
HAP1_chr09	HAP4_chr09	chr09	844	716	9136	9004
HAP2_chr09	HAP3_chr09	chr09	306	4705	4886	9201
HAP2_chr09	HAP4_chr09	chr09	293	4446	4886	9004
HAP3_chr09	HAP4_chr09	chr09	469	257	9201	9004
HAP1_chr10	HAP2_chr10	chr10	1154	626	6368	6119
HAP1_chr10	HAP3_chr10	chr10	1736	311	6368	4962
HAP1_chr10	HAP4_chr10	chr10	1681	340	6368	5048
HAP2_chr10	HAP3_chr10	chr10	1378	187	6119	4962
HAP2_chr10	HAP4_chr10	chr10	1347	247	6119	5048
HAP3_chr10	HAP4_chr10	chr10	242	328	4962	5048
HAP1_chr11	HAP2_chr11	chr11	362	663	4622	4920
HAP1_chr11	HAP3_chr11	chr11	301	799	4622	5124
HAP1_chr11	HAP4_chr11	chr11	302	278	4622	4605
HAP2_chr11	HAP3_chr11	chr11	133	337	4920	5124
HAP2_chr11	HAP4_chr11	chr11	673	357	4920	4605
HAP3_chr11	HAP4_chr11	chr11	816	297	5124	4605
HAP1_chr12	HAP2_chr12	chr12	1413	325	5469	4350
HAP1_chr12	HAP3_chr12	chr12	347	2320	5469	7442
HAP1_chr12	HAP4_chr12	chr12	1379	519	5469	4553
HAP2_chr12	HAP3_chr12	chr12	301	3363	4350	7442
HAP2_chr12	HAP4_chr12	chr12	318	569	4350	4553
HAP3_chr12	HAP4_chr12	chr12	3301	496	7442	4553
HAP1_chr13	HAP2_chr13	chr13	3714	1444	7063	6922
HAP1_chr13	HAP3_chr13	chr13	2432	1920	7063	7603
HAP1_chr13	HAP4_chr13	chr13	224	263	7063	7102
HAP2_chr13	HAP3_chr13	chr13	331	3248	6922	7603
HAP2_chr13	HAP4_chr13	chr13	1411	3692	6922	7102
HAP3_chr13	HAP4_chr13	chr13	1898	2437	7603	7102
