chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units
chr01	HAP1_chr01,HAP3_chr01	HAP2_chr01,HAP4_chr01	2	4	0.196581	0.377710	1.92	
chr02	HAP3_chr02,HAP1_chr02,HAP2_chr02	HAP4_chr02	3	3	0.204708	0.279928	1.37	
chr03	HAP1_chr03,HAP3_chr03	HAP2_chr03,HAP4_chr03	2	4	0.230162	0.443245	1.93	HAP2_chr03
chr04	HAP3_chr04,HAP1_chr04	HAP4_chr04,HAP2_chr04	2	4	0.117262	0.312490	2.66	
chr05	HAP1_chr05,HAP2_chr05,HAP3_chr05	HAP4_chr05	3	3	0.233460	0.403757	1.73	HAP4_chr05
chr06	HAP2_chr06,HAP1_chr06	HAP4_chr06,HAP3_chr06	2	4	0.069260	0.187768	2.71	
chr07	HAP1_chr07	HAP2_chr07,HAP3_chr07,HAP4_chr07	3	3	0.214568	0.355791	1.66	
chr08	HAP1_chr08,HAP3_chr08	HAP4_chr08,HAP2_chr08	2	4	0.228067	0.255843	1.12	
chr09	HAP2_chr09,HAP1_chr09	HAP4_chr09,HAP3_chr09	2	4	0.183397	0.219992	1.20	HAP2_chr09
chr10	HAP2_chr10,HAP1_chr10	HAP4_chr10,HAP3_chr10	2	4	0.099746	0.160419	1.61	
chr11	HAP3_chr11,HAP2_chr11	HAP4_chr11,HAP1_chr11	2	4	0.054827	0.110706	2.02	
chr12	HAP1_chr12,HAP3_chr12	HAP4_chr12,HAP2_chr12	2	4	0.153099	0.248414	1.62	
chr13	HAP1_chr13,HAP4_chr13	HAP2_chr13,HAP3_chr13	2	4	0.140392	0.331060	2.36	
