chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.026361	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.026935	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.027939	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.032216	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.022600	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.025001	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.026917	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.025040	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.021825	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.021859	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.020198	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.023363	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.019781	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.018728	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.020770	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.018569	False
