unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2094562	2095881	2095620	0.998866	0.999495	0.000052	True	0.1465
HAP1_chr01	HAP1_chr02	13	25332414	28133631	27689815	0.830815	0.914864	0.007459	False	439.1459
HAP1_chr01	HAP1_chr02	15	67518896	125333582	118398611	0.383166	0.570268	0.039368	False	7585.1954
HAP1_chr01	HAP1_chr02	17	59627578	193528411	179286748	0.190389	0.332582	0.067048	False	27658.7093
HAP1_chr01	HAP1_chr02	19	56089588	222371278	205013308	0.151065	0.273590	0.070399	False	96812.3651
HAP1_chr01	HAP1_chr02	23	58038217	261595937	240353862	0.130743	0.241470	0.063663	False	1372886.2089
HAP1_chr01	HAP1_chr03	11	2094402	2095881	2095418	0.998810	0.999515	0.000054	True	0.1755
HAP1_chr01	HAP1_chr03	13	25245042	28133631	27559588	0.829115	0.916017	0.007545	False	444.7207
HAP1_chr01	HAP1_chr03	15	66827650	125333582	116786795	0.381235	0.572219	0.039611	False	7577.0384
HAP1_chr01	HAP1_chr03	17	58761274	193528411	176008191	0.189080	0.333855	0.067389	False	27517.1802
HAP1_chr01	HAP1_chr03	19	55180485	222371278	200746987	0.149972	0.274876	0.070731	False	96252.6483
HAP1_chr01	HAP1_chr03	23	57025993	261595937	234460117	0.129891	0.243223	0.063915	False	1365791.7874
HAP1_chr01	HAP1_chr04	11	2094455	2095881	2095492	0.998825	0.999505	0.000053	True	0.1610
HAP1_chr01	HAP1_chr04	13	25293571	28133631	27630611	0.830096	0.915418	0.007495	False	441.8592
HAP1_chr01	HAP1_chr04	15	67367913	125333582	118270318	0.382260	0.569610	0.039482	False	7566.2745
HAP1_chr01	HAP1_chr04	17	59162885	193528411	179158881	0.188703	0.330226	0.067488	False	27438.7148
HAP1_chr01	HAP1_chr04	19	55379275	222371278	204382827	0.149120	0.270959	0.070992	False	95728.1310
HAP1_chr01	HAP1_chr04	23	57037459	261595937	238295319	0.128795	0.239356	0.064241	False	1355028.1848
HAP1_chr01	HAP1_chr05	11	2094076	2095881	2095111	0.998646	0.999506	0.000062	True	0.1622
HAP1_chr01	HAP1_chr05	13	24973872	28133631	27184179	0.823027	0.918691	0.007855	False	456.9115
HAP1_chr01	HAP1_chr05	15	64324302	125333582	110969062	0.374026	0.579660	0.040535	False	7548.1236
HAP1_chr01	HAP1_chr05	17	56324703	193528411	164905197	0.186438	0.341558	0.068086	False	27294.1199
HAP1_chr01	HAP1_chr05	19	53123052	222371278	188306709	0.148573	0.282109	0.071161	False	95690.2616
HAP1_chr01	HAP1_chr05	23	55106999	261595937	221395764	0.128789	0.248907	0.064242	False	1358215.0542
HAP1_chr01	HAP1_chr06	11	2093873	2095881	2094826	0.998588	0.999545	0.000064	True	0.2188
HAP1_chr01	HAP1_chr06	13	24779730	28133631	26901261	0.819025	0.921136	0.008061	False	468.3766
HAP1_chr01	HAP1_chr06	15	63127109	125333582	107555491	0.371857	0.586926	0.040818	False	7587.0847
HAP1_chr01	HAP1_chr06	17	55395309	193528411	158375986	0.186825	0.349771	0.067983	False	27436.9116
HAP1_chr01	HAP1_chr06	19	52318594	222371278	180285078	0.149338	0.290199	0.070925	False	96330.4581
HAP1_chr01	HAP1_chr06	23	54178138	261595937	211190071	0.129425	0.256537	0.064053	False	1367206.5969
HAP1_chr01	HAP1_chr07	11	2093553	2095881	2094551	0.998414	0.999524	0.000072	True	0.1876
HAP1_chr01	HAP1_chr07	13	24486021	28133631	26514139	0.811824	0.923508	0.008435	False	478.3313
HAP1_chr01	HAP1_chr07	15	60642661	125333582	102245252	0.363269	0.593110	0.041957	False	7526.8331
HAP1_chr01	HAP1_chr07	17	52809175	193528411	148404055	0.182653	0.355847	0.069105	False	27052.2670
HAP1_chr01	HAP1_chr07	19	49945349	222371278	168684294	0.146420	0.296088	0.071830	False	95080.9698
HAP1_chr01	HAP1_chr07	23	51792867	261595937	197789104	0.127070	0.261859	0.064760	False	1350566.1005
HAP1_chr01	HAP1_chr08	11	2093555	2095881	2094541	0.998421	0.999529	0.000072	True	0.1959
HAP1_chr01	HAP1_chr08	13	24496293	28133631	26532729	0.811940	0.923248	0.008429	False	477.0369
HAP1_chr01	HAP1_chr08	15	60559078	125333582	102161335	0.362769	0.592779	0.042024	False	7516.8203
HAP1_chr01	HAP1_chr08	17	52707428	193528411	148168726	0.182385	0.355726	0.069178	False	27020.9547
HAP1_chr01	HAP1_chr08	19	49887500	222371278	168472608	0.146316	0.296116	0.071863	False	95030.5399
HAP1_chr01	HAP1_chr08	23	51786785	261595937	197753928	0.127064	0.261875	0.064762	False	1350527.6051
HAP1_chr01	HAP1_chr09	11	2093994	2095881	2094995	0.998623	0.999522	0.000063	True	0.1857
HAP1_chr01	HAP1_chr09	13	24822970	28133631	27005416	0.818805	0.919185	0.008072	False	458.2072
HAP1_chr01	HAP1_chr09	15	63007536	125333582	108261812	0.369355	0.581992	0.041146	False	7505.7106
HAP1_chr01	HAP1_chr09	17	53338203	193528411	158550072	0.178544	0.336412	0.070238	False	26331.3508
HAP1_chr01	HAP1_chr09	19	47831855	222371278	179318325	0.135173	0.266743	0.075518	False	88262.8948
HAP1_chr01	HAP1_chr09	23	45643415	261595937	207863625	0.107696	0.219583	0.071199	False	1161003.6418
HAP1_chr01	HAP1_chr10	11	2093714	2095881	2094727	0.998483	0.999516	0.000069	True	0.1773
HAP1_chr01	HAP1_chr10	13	24518772	28133631	26729255	0.808024	0.917301	0.008635	False	445.2215
HAP1_chr01	HAP1_chr10	15	58365031	125333582	105083884	0.339228	0.555414	0.045335	False	6830.8307
HAP1_chr01	HAP1_chr10	17	44426363	193528411	152473789	0.147314	0.291370	0.079969	False	22116.4476
HAP1_chr01	HAP1_chr10	19	38652575	222371278	171793136	0.108724	0.224995	0.085737	False	72787.4922
HAP1_chr01	HAP1_chr10	23	37606783	261595937	198265326	0.089062	0.189679	0.078721	False	979456.5647
HAP1_chr01	HAP1_chr11	11	2092551	2095881	2093494	0.997962	0.999550	0.000093	True	0.2252
HAP1_chr01	HAP1_chr11	13	23887320	28133631	25884299	0.792792	0.922850	0.009448	False	468.9584
HAP1_chr01	HAP1_chr11	15	54166206	125333582	95222338	0.325538	0.568839	0.047396	False	6773.5639
HAP1_chr01	HAP1_chr11	17	41103426	193528411	135185924	0.142913	0.304051	0.081526	False	21807.1908
HAP1_chr01	HAP1_chr11	19	36060408	222371278	152532598	0.106422	0.236411	0.086754	False	72091.2257
HAP1_chr01	HAP1_chr11	23	35259312	261595937	177644076	0.087280	0.198483	0.079529	False	970156.0711
HAP1_chr01	HAP1_chr12	11	2093582	2095881	2094593	0.998421	0.999517	0.000072	True	0.1786
HAP1_chr01	HAP1_chr12	13	24386134	28133631	26553521	0.804796	0.918377	0.008805	False	449.8090
HAP1_chr01	HAP1_chr12	15	57484187	125333582	102932034	0.336595	0.558467	0.045724	False	6824.6513
HAP1_chr01	HAP1_chr12	17	43661111	193528411	148580052	0.146294	0.293856	0.080325	False	22034.0557
HAP1_chr01	HAP1_chr12	19	37961537	222371278	167201191	0.107965	0.227041	0.086070	False	72465.8988
HAP1_chr01	HAP1_chr12	23	36869353	261595937	192675278	0.088331	0.191355	0.079051	False	974080.9499
HAP1_chr01	HAP1_chr13	11	2093334	2095881	2094331	0.998310	0.999524	0.000077	True	0.1882
