,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr01,0.000000,0.063663,0.063915,0.064241,0.064242,0.064053,0.064760,0.064762,0.071199,0.078721,0.079529,0.079051,0.079432,0.080502,0.079548,0.080036,0.026361,0.063412,0.063891,0.063743,0.064064,0.064274,0.064641,0.064475,0.070950,0.078994,0.079657,0.079570,0.079559,0.080013,0.079674,0.079973
HAP1_chr02,0.063663,0.000000,0.063972,0.064469,0.064145,0.064311,0.064357,0.064657,0.078855,0.078618,0.079416,0.079051,0.079097,0.080387,0.070681,0.079960,0.063682,0.026935,0.064099,0.064156,0.064011,0.064420,0.064281,0.064427,0.078521,0.078991,0.079510,0.079598,0.079486,0.079917,0.070759,0.079865
HAP1_chr03,0.063915,0.063972,0.000000,0.064373,0.064411,0.064144,0.064239,0.064478,0.079317,0.070120,0.079597,0.079689,0.079710,0.080578,0.079644,0.079970,0.064009,0.063882,0.027939,0.063994,0.064199,0.064365,0.064171,0.064170,0.079344,0.070335,0.079905,0.080236,0.079988,0.080184,0.079850,0.079954
HAP1_chr04,0.064241,0.064469,0.064373,0.000000,0.064930,0.064758,0.065328,0.065281,0.079574,0.079345,0.080350,0.071099,0.080034,0.081307,0.080289,0.080646,0.064207,0.064184,0.064467,0.032216,0.064975,0.064968,0.065032,0.064995,0.079634,0.079594,0.080479,0.071363,0.080447,0.080960,0.080577,0.080669
HAP1_chr05,0.064242,0.064145,0.064411,0.064930,0.000000,0.064453,0.064559,0.064721,0.078999,0.078751,0.079171,0.079210,0.070663,0.079792,0.079673,0.079679,0.064330,0.063929,0.064441,0.064528,0.022600,0.064580,0.064290,0.064496,0.079191,0.079009,0.079438,0.079781,0.070922,0.079576,0.079695,0.079542
HAP1_chr06,0.064053,0.064311,0.064144,0.064758,0.064453,0.000000,0.063841,0.064477,0.078904,0.078133,0.070919,0.079082,0.078886,0.079380,0.078803,0.078949,0.064200,0.064218,0.064148,0.064267,0.064163,0.025001,0.064086,0.063878,0.078854,0.077488,0.070935,0.079529,0.079168,0.078399,0.078809,0.078922
HAP1_chr07,0.064760,0.064357,0.064239,0.065328,0.064559,0.063841,0.000000,0.064279,0.079287,0.078307,0.078909,0.079313,0.078978,0.079492,0.079196,0.071454,0.064677,0.064459,0.064296,0.064921,0.064221,0.064001,0.026917,0.064115,0.079313,0.078648,0.079043,0.079760,0.079272,0.078938,0.079049,0.071320
HAP1_chr08,0.064762,0.064657,0.064478,0.065281,0.064721,0.064477,0.064279,0.000000,0.079706,0.079334,0.079402,0.079718,0.079486,0.072806,0.079940,0.079593,0.064761,0.064542,0.064762,0.064879,0.064438,0.064498,0.064358,0.025040,0.079962,0.079557,0.079427,0.080128,0.079853,0.072637,0.080064,0.079577
HAP1_chr09,0.071199,0.078855,0.079317,0.079574,0.078999,0.078904,0.079287,0.079706,0.000000,0.066855,0.066990,0.067066,0.066993,0.067018,0.067125,0.067023,0.071291,0.078927,0.079487,0.079265,0.078877,0.078837,0.079144,0.079549,0.021825,0.066839,0.067178,0.067309,0.066995,0.066699,0.067442,0.067169
HAP1_chr10,0.078721,0.078618,0.070120,0.079345,0.078751,0.078133,0.078307,0.079334,0.066855,0.000000,0.066689,0.067251,0.066978,0.067383,0.066967,0.066697,0.078934,0.078684,0.070294,0.078862,0.078574,0.078105,0.078569,0.078980,0.066929,0.021859,0.066920,0.067604,0.067191,0.066887,0.067084,0.066830
HAP1_chr11,0.079529,0.079416,0.079597,0.080350,0.079171,0.070919,0.078909,0.079402,0.066990,0.066689,0.000000,0.067335,0.066821,0.066399,0.067095,0.065843,0.079917,0.079591,0.079833,0.079677,0.078897,0.070826,0.079014,0.078913,0.066897,0.067012,0.020198,0.067726,0.066840,0.065951,0.067376,0.065889
HAP1_chr12,0.079051,0.079051,0.079689,0.071099,0.079210,0.079082,0.079313,0.079718,0.067066,0.067251,0.067335,0.000000,0.067361,0.067530,0.067434,0.067282,0.079222,0.079110,0.079564,0.070914,0.079113,0.078952,0.079280,0.079499,0.066984,0.067260,0.067437,0.023363,0.067314,0.067174,0.067582,0.067407
HAP1_chr13,0.079432,0.079097,0.079710,0.080034,0.070663,0.078886,0.078978,0.079486,0.066993,0.066978,0.066821,0.067361,0.000000,0.066779,0.067225,0.066243,0.079611,0.079402,0.079954,0.079736,0.070739,0.078503,0.079085,0.079238,0.066897,0.067027,0.066864,0.067550,0.019781,0.066487,0.067348,0.066760
HAP1_chr14,0.080502,0.080387,0.080578,0.081307,0.079792,0.079380,0.079492,0.072806,0.067018,0.067383,0.066399,0.067530,0.066779,0.000000,0.067510,0.066316,0.080733,0.080358,0.080672,0.080943,0.079696,0.079383,0.079545,0.072674,0.067118,0.067186,0.066311,0.067884,0.066843,0.018728,0.067692,0.066477
HAP1_chr15,0.079548,0.070681,0.079644,0.080289,0.079673,0.078803,0.079196,0.079940,0.067125,0.066967,0.067095,0.067434,0.067225,0.067510,0.000000,0.066724,0.079859,0.071025,0.079904,0.079554,0.079322,0.078772,0.079222,0.079487,0.067076,0.066775,0.066977,0.067772,0.067194,0.066847,0.020770,0.066898
HAP1_chr16,0.080036,0.079960,0.079970,0.080646,0.079679,0.078949,0.071454,0.079593,0.067023,0.066697,0.065843,0.067282,0.066243,0.066316,0.066724,0.000000,0.080104,0.080121,0.080077,0.080264,0.079417,0.078825,0.071425,0.079464,0.066892,0.066570,0.065918,0.067651,0.066381,0.065888,0.066991,0.018569
HAP2_chr01,0.026361,0.063682,0.064009,0.064207,0.064330,0.064200,0.064677,0.064761,0.071291,0.078934,0.079917,0.079222,0.079611,0.080733,0.079859,0.080104,0.000000,0.063447,0.063947,0.063866,0.064178,0.064388,0.064585,0.064589,0.071319,0.079244,0.080208,0.079774,0.079877,0.080351,0.080014,0.080194
