unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	640	1847	7266	7921	0.163758	0.080901
HAP1_chr02	HAP2_chr02	chr02	794	401	5465	5182	0.112238	0.183256
HAP1_chr03	HAP2_chr03	chr03	502	232	4209	3939	0.090083	0.306666
HAP1_chr04	HAP2_chr04	chr04	1928	1026	5638	5064	0.276023	0.013437
HAP1_chr05	HAP2_chr05	chr05	908	1293	6410	6521	0.170211	0.213183
HAP1_chr06	HAP2_chr06	chr06	1700	1197	5831	5374	0.258545	0.262178
HAP1_chr07	HAP2_chr07	chr07	581	324	3399	3152	0.138147	0.167678
HAP1_chr08	HAP2_chr08	chr08	757	1777	4232	5264	0.266849	0.368362
HAP1_chr09	HAP2_chr09	chr09	3479	1225	7814	5739	0.347082	0.053608
HAP1_chr10	HAP2_chr10	chr10	617	87	3188	2658	0.120424	0.406143
HAP1_chr11	HAP2_chr11	chr11	333	1765	4836	6086	0.192089	0.122703
HAP1_chr12	HAP2_chr12	chr12	115	696	2170	2719	0.165883	0.251759
HAP1_chr13	HAP2_chr13	chr13	514	610	4240	4322	0.131278	0.305313
HAP1_chr14	HAP2_chr14	chr14	572	351	2932	2585	0.167301	0.369740
HAP1_chr15	HAP2_chr15	chr15	1007	2097	3708	4690	0.369612	0.306555
HAP1_chr16	HAP2_chr16	chr16	296	1281	2711	3650	0.247917	0.063646
HAP1_chr17	HAP2_chr17	chr17	534	2603	3244	5149	0.373764	0.012386
HAP1_chr18	HAP2_chr18	chr18	2334	445	4949	3493	0.329187	0.268198
HAP1_chr19	HAP2_chr19	chr19	1398	1395	3069	3514	0.424275	0.328271
HAP1_chr20	HAP2_chr20	chr20	1670	216	2792	1333	0.457212	0.009523
HAP1_chr21	HAP2_chr21	chr21	708	847	2121	2259	0.355023	0.010412
HAP1_chr22	HAP2_chr22	chr22	296	597	1529	1848	0.264436	0.110434
HAP1_chr23	HAP2_chr23	chr23	250	113	1434	1297	0.132918	0.033375
HAP1_chr24	HAP2_chr24	chr24	563	89	1616	1142	0.236403	0.324891
HAP1_chr25	HAP2_chr25	chr25	724	629	1966	1752	0.363905	0.287439
HAP1_chr26	HAP2_chr26	chr26	441	195	1464	1219	0.237048	0.214222
