unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	640	1847	7266	7921
HAP1_chr02	HAP2_chr02	chr02	794	401	5465	5182
HAP1_chr03	HAP2_chr03	chr03	502	232	4209	3939
HAP1_chr04	HAP2_chr04	chr04	1928	1026	5638	5064
HAP1_chr05	HAP2_chr05	chr05	908	1293	6410	6521
HAP1_chr06	HAP2_chr06	chr06	1700	1197	5831	5374
HAP1_chr07	HAP2_chr07	chr07	581	324	3399	3152
HAP1_chr08	HAP2_chr08	chr08	757	1777	4232	5264
HAP1_chr09	HAP2_chr09	chr09	3479	1225	7814	5739
HAP1_chr10	HAP2_chr10	chr10	617	87	3188	2658
HAP1_chr11	HAP2_chr11	chr11	333	1765	4836	6086
HAP1_chr12	HAP2_chr12	chr12	115	696	2170	2719
HAP1_chr13	HAP2_chr13	chr13	514	610	4240	4322
HAP1_chr14	HAP2_chr14	chr14	572	351	2932	2585
HAP1_chr15	HAP2_chr15	chr15	1007	2097	3708	4690
HAP1_chr16	HAP2_chr16	chr16	296	1281	2711	3650
HAP1_chr17	HAP2_chr17	chr17	534	2603	3244	5149
HAP1_chr18	HAP2_chr18	chr18	2334	445	4949	3493
HAP1_chr19	HAP2_chr19	chr19	1398	1395	3069	3514
HAP1_chr20	HAP2_chr20	chr20	1670	216	2792	1333
HAP1_chr21	HAP2_chr21	chr21	708	847	2121	2259
HAP1_chr22	HAP2_chr22	chr22	296	597	1529	1848
HAP1_chr23	HAP2_chr23	chr23	250	113	1434	1297
HAP1_chr24	HAP2_chr24	chr24	563	89	1616	1142
HAP1_chr25	HAP2_chr25	chr25	724	629	1966	1752
HAP1_chr26	HAP2_chr26	chr26	441	195	1464	1219
