,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr14,HAP2_chr13,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr14,HAP3_chr13,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr14,HAP4_chr13,HAP4_chr15,HAP4_chr16,HAP4_chr17
HAP1_chr01,0.000000,0.109672,0.108280,0.109722,0.109087,0.103138,0.119114,0.108981,0.111535,0.110701,0.109854,0.113381,0.111595,0.101363,0.111342,0.111338,0.110057,0.011840,0.110053,0.108329,0.108435,0.110175,0.103507,0.111555,0.108847,0.110256,0.110363,0.110486,0.112496,0.102095,0.112065,0.110807,0.113423,0.108759,0.011791,0.110356,0.108956,0.108272,0.110118,0.103824,0.112194,0.109129,0.110403,0.110823,0.110069,0.112189,0.102043,0.112146,0.111985,0.109832,0.110204,0.026005,0.111380,0.108182,0.113856,0.109431,0.104581,0.110530,0.110015,0.111602,0.111644,0.110076,0.113090,0.101226,0.115916,0.112769,0.112743,0.115092
HAP1_chr02,0.109672,0.000000,0.094702,0.109347,0.107577,0.107809,0.116657,0.108184,0.110451,0.109394,0.108645,0.111223,0.109192,0.110411,0.109665,0.109565,0.110402,0.109877,0.014319,0.094359,0.107288,0.108556,0.108769,0.109360,0.107394,0.109138,0.107568,0.108861,0.110380,0.111731,0.109555,0.109764,0.111587,0.109078,0.109893,0.013663,0.094932,0.106855,0.109096,0.108232,0.110571,0.107940,0.109197,0.108693,0.107568,0.110160,0.111480,0.109608,0.110247,0.107490,0.110046,0.110819,0.015862,0.094263,0.111893,0.108182,0.109273,0.109138,0.108167,0.110563,0.109404,0.108664,0.110738,0.109771,0.113699,0.111152,0.111403,0.115310
HAP1_chr03,0.108280,0.094702,0.000000,0.106813,0.106564,0.106733,0.114069,0.106224,0.107455,0.107326,0.106111,0.109313,0.107994,0.108206,0.107912,0.107539,0.107923,0.107653,0.094750,0.014489,0.105188,0.106448,0.107422,0.107766,0.106010,0.106972,0.106476,0.106177,0.108558,0.108807,0.108468,0.107335,0.109262,0.107565,0.107387,0.095066,0.006778,0.104778,0.106833,0.106703,0.107633,0.105523,0.107493,0.106930,0.106425,0.108145,0.108617,0.108599,0.108382,0.106964,0.108482,0.109571,0.095738,0.014449,0.110173,0.107070,0.107784,0.107594,0.106138,0.107930,0.107717,0.106020,0.109080,0.108026,0.111380,0.108494,0.108779,0.112295
HAP1_chr04,0.109722,0.109347,0.106813,0.000000,0.107003,0.106682,0.116938,0.095565,0.108968,0.104882,0.108016,0.111131,0.109995,0.108706,0.109139,0.108787,0.106939,0.109679,0.109655,0.107023,0.017834,0.107538,0.107255,0.109097,0.095448,0.108404,0.104240,0.107082,0.109527,0.109652,0.110497,0.109124,0.110828,0.105166,0.109617,0.109573,0.107488,0.018344,0.107681,0.107399,0.110087,0.095269,0.108404,0.104748,0.107717,0.109763,0.110112,0.110728,0.109484,0.108517,0.107053,0.106381,0.110551,0.107452,0.026785,0.107432,0.108155,0.109125,0.095370,0.109245,0.104750,0.107257,0.110973,0.108708,0.113461,0.110196,0.110305,0.110614
HAP1_chr05,0.109087,0.107577,0.106564,0.107003,0.000000,0.108120,0.116346,0.107324,0.109406,0.096490,0.108534,0.110210,0.109908,0.109797,0.108128,0.108883,0.109261,0.110036,0.108990,0.106188,0.106577,0.014418,0.108429,0.109340,0.106814,0.108471,0.096231,0.108417,0.109860,0.110556,0.110240,0.108100,0.111159,0.108115,0.109680,0.108931,0.107373,0.105811,0.013696,0.108269,0.110475,0.107164,0.108423,0.096163,0.107285,0.109449,0.110795,0.110003,0.108672,0.108219,0.108974,0.111069,0.109941,0.106368,0.111724,0.012745,0.109334,0.108751,0.107853,0.109463,0.096620,0.107625,0.110261,0.108832,0.113529,0.109580,0.110439,0.113742
HAP1_chr06,0.103138,0.107809,0.106733,0.106682,0.108120,0.000000,0.116669,0.108522,0.105152,0.110123,0.108169,0.111293,0.109157,0.110569,0.109457,0.109195,0.109428,0.103503,0.109062,0.107450,0.107574,0.109468,0.015817,0.109717,0.108259,0.104368,0.109275,0.108288,0.110722,0.111456,0.109944,0.109508,0.111710,0.108576,0.103344,0.109214,0.107838,0.107379,0.109075,0.016542,0.111144,0.109078,0.104329,0.109164,0.107876,0.110013,0.111242,0.110255,0.110398,0.109152,0.110286,0.102392,0.109680,0.107394,0.112828,0.108530,0.017586,0.108938,0.108971,0.105063,0.110222,0.108039,0.110855,0.110073,0.113846,0.111176,0.110881,0.113968
HAP1_chr07,0.119114,0.116657,0.114069,0.116938,0.116346,0.116669,0.000000,0.117153,0.118219,0.117351,0.117258,0.103296,0.117246,0.117488,0.117018,0.118456,0.119047,0.119005,0.117418,0.115303,0.116207,0.116401,0.116428,0.036074,0.116950,0.117814,0.116515,0.117995,0.103399,0.118594,0.117927,0.117393,0.118765,0.117574,0.118354,0.117439,0.115046,0.115349,0.117704,0.116550,0.034068,0.116596,0.117798,0.117276,0.116978,0.102922,0.118647,0.117983,0.117749,0.116588,0.118243,0.119196,0.118104,0.114475,0.106988,0.116362,0.118344,0.035886,0.117646,0.119007,0.118072,0.117003,0.102879,0.117474,0.120616,0.118077,0.118667,0.121580
HAP1_chr08,0.108981,0.108184,0.106224,0.095565,0.107324,0.108522,0.117153,0.000000,0.109037,0.108614,0.106242,0.110355,0.108719,0.109264,0.108293,0.108625,0.107284,0.109115,0.108576,0.106781,0.093833,0.108278,0.108695,0.109214,0.010395,0.108969,0.108016,0.106092,0.109242,0.109248,0.109399,0.108417,0.110116,0.106489,0.108726,0.109129,0.107064,0.093318,0.108959,0.108325,0.109190,0.007132,0.109392,0.108005,0.105386,0.110118,0.109417,0.110013,0.108758,0.107523,0.107732,0.111500,0.109710,0.107038,0.098646,0.107902,0.109271,0.108741,0.010430,0.109375,0.108413,0.105721,0.109862,0.108642,0.113369,0.109869,0.109685,0.111752
HAP1_chr09,0.111535,0.110451,0.107455,0.108968,0.109406,0.105152,0.118219,0.109037,0.000000,0.109831,0.109211,0.111707,0.109981,0.110141,0.109768,0.110010,0.100438,0.111282,0.110210,0.108879,0.108612,0.108843,0.104934,0.110071,0.108839,0.014146,0.108898,0.108538,0.110726,0.110915,0.109780,0.109556,0.111720,0.099847,0.111237,0.110979,0.108631,0.108203,0.109829,0.104904,0.110074,0.109002,0.014063,0.109181,0.108606,0.110665,0.110059,0.110630,0.110289,0.109238,0.100882,0.113275,0.111042,0.108447,0.113527,0.108831,0.106454,0.109960,0.109675,0.010367,0.110090,0.108669,0.110917,0.109789,0.113933,0.111349,0.110743,0.103387
HAP1_chr10,0.110701,0.109394,0.107326,0.104882,0.096490,0.110123,0.117351,0.108614,0.109831,0.000000,0.108061,0.111336,0.110085,0.109469,0.108997,0.109666,0.109995,0.111030,0.110410,0.107704,0.107603,0.097020,0.110003,0.109780,0.108115,0.109208,0.012287,0.108510,0.110527,0.110604,0.110357,0.108891,0.110275,0.108119,0.110601,0.109478,0.108496,0.106919,0.097206,0.109401,0.109984,0.108128,0.108738,0.013727,0.108883,0.110371,0.110705,0.110986,0.109474,0.108519,0.110633,0.112864,0.111146,0.108058,0.112902,0.096640,0.111091,0.109532,0.108813,0.109976,0.014192,0.108561,0.111381,0.109502,0.113828,0.110319,0.109867,0.114619
