chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.006671	chr11	0.094318	-3.651	0.00342391	22.16
chr02	2	0.002969	chr19	0.091348	-4.412	0.000179567	30.50
chr03	2	0.004659	chr04	0.085464	-5.918	3.43177e-07	20.77
chr04	2	0.003571	chr03	0.085464	-5.918	3.43177e-07	20.77
chr05	2	0.003276	chr17	0.094972	-3.484	0.00546349	31.67
chr06	2	0.002873	chr07	0.089789	-4.811	3.9506e-05	27.23
chr07	2	0.003721	chr06	0.089789	-4.811	3.9506e-05	27.23
chr08	2	0.005722	chr20	0.096034	-3.212	0.0125796	29.95
chr09	2	0.003830	chr16	0.088639	-5.105	1.15826e-05	33.15
chr10	2	0.003363					
chr11	2	0.001842	chr01	0.094318	-3.651	0.00342391	22.16
chr12	2	0.002204	chr21	0.092756	-4.051	0.000764499	27.92
chr13	2	0.005030					
chr14	2	0.004152					
chr15	2	0.002298	chr18	0.095026	-3.470	0.00546349	40.48
chr16	2	0.001517	chr09	0.088639	-5.105	1.15826e-05	33.15
chr17	2	0.002721	chr05	0.094972	-3.484	0.00546349	31.67
chr18	2	0.002397	chr15	0.095026	-3.470	0.00546349	40.48
chr19	2	0.003022	chr02	0.091348	-4.412	0.000179567	30.50
chr20	2	0.000690	chr08	0.096034	-3.212	0.0125796	29.95
chr21	2	0.004440	chr12	0.092756	-4.051	0.000764499	27.92
