unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1939	805	6693	5925
HAP1_chr02	HAP2_chr02	chr02	2091	1455	6847	6191
HAP1_chr03	HAP2_chr03	chr03	754	2680	5658	7576
HAP1_chr04	HAP2_chr04	chr04	568	1376	6481	7264
HAP1_chr05	HAP2_chr05	chr05	2901	1227	6169	4452
HAP1_chr06	HAP2_chr06	chr06	513	1642	4203	5130
HAP1_chr07	HAP2_chr07	chr07	3909	673	6994	4459
HAP1_chr08	HAP2_chr08	chr08	1154	1578	6881	7236
HAP1_chr09	HAP2_chr09	chr09	5153	3479	7900	7606
HAP1_chr10	HAP2_chr10	chr10	777	1920	4991	5761
HAP1_chr11	HAP2_chr11	chr11	1238	472	3675	3092
HAP1_chr12	HAP2_chr12	chr12	1967	216	5762	4366
HAP1_chr13	HAP2_chr13	chr13	2346	986	6697	5541
HAP1_chr14	HAP2_chr14	chr14	889	1898	5243	5812
HAP1_chr15	HAP2_chr15	chr15	3048	564	6036	3569
HAP1_chr16	HAP2_chr16	chr16	1490	150	3069	1996
HAP1_chr17	HAP2_chr17	chr17	617	3722	2743	5874
HAP1_chr18	HAP2_chr18	chr18	2675	456	4493	2741
HAP1_chr19	HAP2_chr19	chr19	1228	1758	4464	4825
HAP1_chr20	HAP2_chr20	chr20	2521	182	3406	1241
HAP1_chr21	HAP2_chr21	chr21	1180	458	4066	3397
HAP1_chr22	HAP2_chr22	chr22	358	995	2582	3060
HAP1_chr23	HAP2_chr23	chr23	1724	1206	2579	1961
HAP1_chr24	HAP2_chr24	chr24	579	1760	2785	3726
HAP1_chr25	HAP2_chr25	chr25	631	1287	1367	2019
HAP1_chr26	HAP2_chr26	chr26	684	3720	1412	4377
