unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1939	805	6693	5925	0.217467	0.181407
HAP1_chr02	HAP2_chr02	chr02	2091	1455	6847	6191	0.271974	0.141688
HAP1_chr03	HAP2_chr03	chr03	754	2680	5658	7576	0.259483	0.007918
HAP1_chr04	HAP2_chr04	chr04	568	1376	6481	7264	0.141433	0.160586
HAP1_chr05	HAP2_chr05	chr05	2901	1227	6169	4452	0.388664	0.007869
HAP1_chr06	HAP2_chr06	chr06	513	1642	4203	5130	0.230901	0.210732
HAP1_chr07	HAP2_chr07	chr07	3909	673	6994	4459	0.400070	0.270004
HAP1_chr08	HAP2_chr08	chr08	1154	1578	6881	7236	0.193526	0.284161
HAP1_chr09	HAP2_chr09	chr09	5153	3479	7900	7606	0.556688	0.085820
HAP1_chr10	HAP2_chr10	chr10	777	1920	4991	5761	0.250837	0.028182
HAP1_chr11	HAP2_chr11	chr11	1238	472	3675	3092	0.252697	0.121279
HAP1_chr12	HAP2_chr12	chr12	1967	216	5762	4366	0.215541	0.008168
HAP1_chr13	HAP2_chr13	chr13	2346	986	6697	5541	0.272267	0.059410
HAP1_chr14	HAP2_chr14	chr14	889	1898	5243	5812	0.252103	0.049616
HAP1_chr15	HAP2_chr15	chr15	3048	564	6036	3569	0.376054	0.008898
HAP1_chr16	HAP2_chr16	chr16	1490	150	3069	1996	0.323791	0.157230
HAP1_chr17	HAP2_chr17	chr17	617	3722	2743	5874	0.503540	0.021607
HAP1_chr18	HAP2_chr18	chr18	2675	456	4493	2741	0.432817	0.240739
HAP1_chr19	HAP2_chr19	chr19	1228	1758	4464	4825	0.321455	0.083430
HAP1_chr20	HAP2_chr20	chr20	2521	182	3406	1241	0.581666	0.217898
HAP1_chr21	HAP2_chr21	chr21	1180	458	4066	3397	0.219483	0.076581
HAP1_chr22	HAP2_chr22	chr22	358	995	2582	3060	0.239809	0.070381
HAP1_chr23	HAP2_chr23	chr23	1724	1206	2579	1961	0.645374	0.008094
HAP1_chr24	HAP2_chr24	chr24	579	1760	2785	3726	0.359238	0.271117
HAP1_chr25	HAP2_chr25	chr25	631	1287	1367	2019	0.566450	0.044182
HAP1_chr26	HAP2_chr26	chr26	684	3720	1412	4377	0.760753	0.237729
