chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	1		chr03	0.056847	-5.550	1.38191e-06	
chr02	1		chr05	0.059229	-5.220	2.58595e-06	
chr03	1		chr01	0.056847	-5.550	1.38191e-06	
chr04	1		chr13	0.057503	-5.459	1.38191e-06	
chr05	1		chr02	0.059229	-5.220	2.58595e-06	
chr06	1		chr07	0.057938	-5.399	1.54989e-06	
chr07	1		chr06	0.057938	-5.399	1.54989e-06	
chr08	1		chr14	0.057360	-5.479	1.38191e-06	
chr09	1		chr17	0.064258	-4.523	6.41379e-05	
chr10	1		chr12	0.057491	-5.461	1.38191e-06	
chr11	1		chr16	0.059590	-5.170	3.00814e-06	
chr12	1		chr10	0.057491	-5.461	1.38191e-06	
chr13	1		chr04	0.057503	-5.459	1.38191e-06	
chr14	1		chr08	0.057360	-5.479	1.38191e-06	
chr15	1		chr19	0.058846	-5.273	2.21569e-06	
chr16	1		chr11	0.059590	-5.170	3.00814e-06	
chr17	1		chr09	0.064258	-4.523	6.41379e-05	
chr18	1		chr21	0.061454	-4.911	1.04478e-05	
chr19	1		chr15	0.058846	-5.273	2.21569e-06	
chr20	1		chr22	0.058298	-5.349	1.7037e-06	
chr21	1		chr18	0.061454	-4.911	1.04478e-05	
chr22	1		chr20	0.058298	-5.349	1.7037e-06	
