,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26
HAP1_chr01,0.000000,0.114670,0.116840,0.117866,0.117236,0.083117,0.115815,0.119899,0.120886,0.115034,0.118310,0.120369,0.119199,0.118839,0.117896,0.125300,0.118735,0.123901,0.121489,0.122638,0.123799,0.124245,0.125108,0.124116,0.125200,0.132286,0.014440,0.114465,0.116579,0.117497,0.117799,0.083361,0.116256,0.120799,0.119832,0.115307,0.117880,0.120290,0.118210,0.118872,0.120311,0.125474,0.117995,0.124551,0.122107,0.124408,0.123942,0.123521,0.124621,0.125126,0.126145,0.129039
HAP1_chr02,0.114670,0.000000,0.114715,0.084764,0.116020,0.119759,0.115055,0.120072,0.119592,0.113556,0.116517,0.119076,0.116523,0.117433,0.116555,0.124792,0.117015,0.122251,0.119768,0.120860,0.120746,0.122079,0.122781,0.122269,0.123978,0.130366,0.114624,0.016997,0.115446,0.084510,0.116417,0.120536,0.114826,0.119382,0.118393,0.114042,0.116371,0.119696,0.116246,0.117715,0.117770,0.124558,0.116928,0.122830,0.119917,0.122653,0.121073,0.121256,0.123239,0.123724,0.124037,0.127553
HAP1_chr03,0.116840,0.114715,0.000000,0.115819,0.118157,0.119865,0.116421,0.120027,0.120164,0.107196,0.117973,0.119363,0.102536,0.119904,0.109132,0.125227,0.117087,0.123504,0.120340,0.109958,0.122886,0.124664,0.126074,0.124921,0.124819,0.120102,0.116321,0.114605,0.013638,0.116346,0.117746,0.121129,0.116481,0.119708,0.119368,0.108070,0.117938,0.119507,0.102334,0.119829,0.110226,0.124826,0.116961,0.123890,0.121530,0.111161,0.123310,0.123628,0.126154,0.125776,0.124930,0.118891
HAP1_chr04,0.117866,0.084764,0.115819,0.000000,0.117878,0.119854,0.116119,0.118275,0.118175,0.115827,0.118336,0.118085,0.117422,0.118193,0.118881,0.123403,0.116325,0.119802,0.119882,0.118328,0.121361,0.122396,0.123195,0.122873,0.122299,0.128830,0.117974,0.084074,0.115513,0.014403,0.118406,0.120087,0.116673,0.119471,0.117382,0.116283,0.118108,0.118727,0.117010,0.118698,0.119863,0.123530,0.114843,0.120960,0.119293,0.121150,0.121498,0.121852,0.124028,0.123080,0.122725,0.125220
HAP1_chr05,0.117236,0.116020,0.118157,0.117878,0.000000,0.120681,0.116034,0.084878,0.119870,0.115178,0.119096,0.120032,0.118379,0.119310,0.117418,0.125678,0.118099,0.122700,0.120698,0.120606,0.121429,0.122824,0.122667,0.121766,0.124109,0.130384,0.117153,0.115247,0.117406,0.117669,0.017892,0.121871,0.115756,0.084931,0.119167,0.115243,0.117863,0.119661,0.118029,0.119390,0.119544,0.125574,0.117432,0.123078,0.120762,0.122253,0.121860,0.121656,0.123988,0.124448,0.124928,0.126780
HAP1_chr06,0.083117,0.119759,0.119865,0.119854,0.120681,0.000000,0.120167,0.122935,0.123514,0.120672,0.121749,0.122795,0.122475,0.123697,0.123391,0.127354,0.120664,0.125228,0.123720,0.124157,0.126094,0.127697,0.127980,0.127066,0.125900,0.132566,0.083070,0.118831,0.119393,0.119965,0.121031,0.012894,0.120889,0.122790,0.122192,0.120488,0.121454,0.122286,0.121948,0.124072,0.124712,0.126997,0.120014,0.124866,0.123806,0.125711,0.126433,0.126368,0.127396,0.128456,0.127121,0.130239
HAP1_chr07,0.115815,0.115055,0.116421,0.116119,0.116034,0.120167,0.000000,0.117720,0.117305,0.113652,0.118236,0.118897,0.115353,0.116778,0.115470,0.124696,0.088799,0.119726,0.118216,0.118340,0.118173,0.120138,0.119026,0.119051,0.122443,0.128200,0.116459,0.113839,0.114974,0.116095,0.117326,0.120531,0.016511,0.117815,0.117667,0.113782,0.117467,0.119862,0.115399,0.116552,0.117233,0.124803,0.087758,0.120583,0.118126,0.121235,0.119152,0.118930,0.120571,0.120040,0.123010,0.126290
HAP1_chr08,0.119899,0.120072,0.120027,0.118275,0.084878,0.122935,0.117720,0.000000,0.119257,0.119007,0.121616,0.120182,0.121010,0.122086,0.119222,0.125588,0.119446,0.121847,0.121005,0.120965,0.123710,0.124801,0.124636,0.123958,0.124311,0.130185,0.120708,0.119034,0.118516,0.118584,0.085697,0.123261,0.118183,0.015935,0.119257,0.118945,0.121090,0.120781,0.120800,0.122306,0.121474,0.125381,0.118372,0.122245,0.121051,0.123649,0.124007,0.123068,0.125218,0.124764,0.124914,0.128585
HAP1_chr09,0.120886,0.119592,0.120164,0.118175,0.119870,0.123514,0.117305,0.119257,0.000000,0.117685,0.121410,0.119032,0.102761,0.120845,0.117751,0.125713,0.118358,0.119825,0.118632,0.120348,0.119955,0.121710,0.122200,0.092852,0.122565,0.127576,0.122286,0.118800,0.118895,0.118509,0.121954,0.123634,0.118584,0.118903,0.011250,0.118114,0.121306,0.119500,0.101935,0.120876,0.121343,0.125942,0.117290,0.120561,0.118382,0.122192,0.121084,0.120598,0.124943,0.093542,0.122744,0.124511
HAP1_chr10,0.115034,0.113556,0.107196,0.115827,0.115178,0.120672,0.113652,0.119007,0.117685,0.000000,0.117123,0.118154,0.115382,0.116068,0.115525,0.124184,0.116352,0.119731,0.117149,0.099685,0.118135,0.120190,0.119254,0.117674,0.121391,0.118655,0.114664,0.113604,0.107218,0.115715,0.116464,0.120750,0.113991,0.119188,0.117139,0.017014,0.117140,0.119115,0.114071,0.116523,0.116589,0.123487,0.115515,0.120706,0.116444,0.100321,0.119469,0.119321,0.120629,0.120170,0.122956,0.116762
