chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.007294	chr18	0.051646	-6.085	1.2421e-08	3.85
chr02	2	0.005759	chr03	0.060428	-4.706	2.40212e-05	11.08
chr03	2	0.005147	chr02	0.060428	-4.706	2.40212e-05	11.08
chr04	2	0.018114	chr05	0.016823	-11.556	0	0.94
chr05	2	0.017567	chr04	0.016823	-11.556	0	0.94
chr06	2	0.004886					
chr07	2	0.008588	chr08	0.018631	-11.272	0	1.38
chr08	2	0.018404	chr07	0.018631	-11.272	0	1.38
chr09	2	0.020607	chr10	0.020071	-11.045	0	0.94
chr10	2	0.021879	chr09	0.020071	-11.045	0	0.94
chr11	2	0.020292	chr12	0.016668	-11.580	0	0.81
chr12	2	0.020691	chr11	0.016668	-11.580	0	0.81
chr13	2	0.017661	chr17	0.023204	-10.553	0	1.13
chr14	2	0.018535	chr15	0.018817	-11.242	0	0.99
chr15	2	0.019612	chr14	0.018817	-11.242	0	0.99
chr16	2	0.025155	chr19	0.022354	-10.687	0	0.88
chr17	2	0.023431	chr13	0.023204	-10.553	0	1.13
chr18	2	0.019537	chr01	0.051646	-6.085	1.2421e-08	3.85
chr19	2	0.025500	chr16	0.022354	-10.687	0	0.88
