unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	2542	3223	24885	25727
HAP1_chr02	HAP2_chr02	chr02	5515	4835	20237	19799
HAP1_chr03	HAP2_chr03	chr03	15283	7770	23803	17764
HAP1_chr04	HAP2_chr04	chr04	6162	4168	14590	12469
HAP1_chr05	HAP2_chr05	chr05	4807	3355	19468	18106
HAP1_chr06	HAP2_chr06	chr06	4758	1203	14452	12379
HAP1_chr07	HAP2_chr07	chr07	3133	2228	15428	15183
HAP1_chr08	HAP2_chr08	chr08	10467	920	12040	2270
HAP1_chr09	HAP2_chr09	chr09	4538	3660	15328	14540
HAP1_chr10	HAP2_chr10	chr10	2815	776	10696	9266
HAP1_chr11	HAP2_chr11	chr11	1545	7198	16264	20804
HAP1_chr12	HAP2_chr12	chr12	2923	4899	10176	12248
HAP1_chr13	HAP2_chr13	chr13	9044	7	9174	145
HAP1_chr14	HAP2_chr14	chr14	832	5985	7082	10532
HAP1_chr15	HAP2_chr15	chr15	3587	747	6802	4645
HAP1_chr16	HAP2_chr16	chr16	6796	1120	9353	4942
HAP1_chr17	HAP2_chr17	chr17	1279	1354	4683	4925
HAP1_chr18	HAP2_chr18	chr18	3450	2048	9120	8040
HAP1_chr19	HAP2_chr19	chr19	573	5859	5628	9718
HAP1_chr20	HAP2_chr20	chr20	3559	3224	7879	6927
HAP1_chr21	HAP2_chr21	chr21	79	90	4631	4642
