unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	2542	3223	24885	25727	0.113906	0.194784
HAP1_chr02	HAP2_chr02	chr02	5515	4835	20237	19799	0.258517	0.112943
HAP1_chr03	HAP2_chr03	chr03	15283	7770	23803	17764	0.554599	0.212829
HAP1_chr04	HAP2_chr04	chr04	6162	4168	14590	12469	0.381758	0.064111
HAP1_chr05	HAP2_chr05	chr05	4807	3355	19468	18106	0.217225	0.347141
HAP1_chr06	HAP2_chr06	chr06	4758	1203	14452	12379	0.222168	0.187966
HAP1_chr07	HAP2_chr07	chr07	3133	2228	15428	15183	0.175133	0.196041
HAP1_chr08	HAP2_chr08	chr08	10467	920	12040	2270	0.795737	0.018465
HAP1_chr09	HAP2_chr09	chr09	4538	3660	15328	14540	0.274474	0.023973
HAP1_chr10	HAP2_chr10	chr10	2815	776	10696	9266	0.179892	0.376276
HAP1_chr11	HAP2_chr11	chr11	1545	7198	16264	20804	0.235864	0.282755
HAP1_chr12	HAP2_chr12	chr12	2923	4899	10176	12248	0.348823	0.308415
HAP1_chr13	HAP2_chr13	chr13	9044	7	9174	145	0.971242	0.003661
HAP1_chr14	HAP2_chr14	chr14	832	5985	7082	10532	0.387022	0.290283
HAP1_chr15	HAP2_chr15	chr15	3587	747	6802	4645	0.378614	0.236370
HAP1_chr16	HAP2_chr16	chr16	6796	1120	9353	4942	0.553760	0.290287
HAP1_chr17	HAP2_chr17	chr17	1279	1354	4683	4925	0.274042	0.060562
HAP1_chr18	HAP2_chr18	chr18	3450	2048	9120	8040	0.320396	0.018450
HAP1_chr19	HAP2_chr19	chr19	573	5859	5628	9718	0.419132	0.009763
HAP1_chr20	HAP2_chr20	chr20	3559	3224	7879	6927	0.458125	0.351730
HAP1_chr21	HAP2_chr21	chr21	79	90	4631	4642	0.018225	0.090715
