,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr01,0.000000,0.113460,0.118786,0.115267,0.048243,0.115346,0.114029,0.109199,0.111413,0.117842,0.116774,0.114291,0.118405,0.119113,0.113338,0.112510,0.114776,0.118651,0.009863,0.113666,0.119013,0.117918,0.048092,0.115254,0.113873,0.110486,0.110713,0.117485,0.116287,0.113792,0.117274,0.117904,0.114016,0.111887,0.114850,0.119040
HAP1_chr02,0.113460,0.000000,0.047408,0.116274,0.118905,0.118035,0.116149,0.111436,0.113397,0.119420,0.117109,0.114551,0.119014,0.119743,0.114411,0.114743,0.116045,0.119996,0.113052,0.012761,0.047339,0.118713,0.118891,0.117457,0.114825,0.112159,0.112444,0.118440,0.116995,0.115388,0.118638,0.119629,0.114267,0.114909,0.116026,0.120078
HAP1_chr03,0.118786,0.047408,0.000000,0.116928,0.117342,0.117843,0.115159,0.118010,0.119569,0.125334,0.117647,0.119991,0.117831,0.119576,0.120220,0.120236,0.120645,0.119723,0.119124,0.047086,0.011032,0.119761,0.117485,0.116554,0.115505,0.118510,0.118102,0.124632,0.117206,0.119924,0.116548,0.118496,0.120147,0.121150,0.120716,0.119921
HAP1_chr04,0.115267,0.116274,0.116928,0.000000,0.113312,0.112701,0.110291,0.112705,0.114228,0.050175,0.112620,0.116404,0.114408,0.114535,0.115387,0.116023,0.117536,0.114892,0.116366,0.116846,0.117453,0.017096,0.114421,0.111532,0.109228,0.113836,0.113541,0.050119,0.112127,0.116074,0.113410,0.113893,0.115591,0.115438,0.116733,0.115975
HAP1_chr05,0.048243,0.118905,0.117342,0.113312,0.000000,0.113986,0.112059,0.115478,0.117097,0.123723,0.113337,0.117553,0.117247,0.116339,0.119150,0.117928,0.118973,0.117061,0.048170,0.119490,0.117487,0.115861,0.011272,0.113658,0.112245,0.116486,0.116090,0.123647,0.113307,0.118667,0.114964,0.116567,0.118669,0.118834,0.118697,0.117084
HAP1_chr06,0.115346,0.118035,0.117843,0.112701,0.113986,0.000000,0.110280,0.112911,0.050177,0.122697,0.111960,0.115361,0.114798,0.112545,0.115352,0.111806,0.115839,0.113495,0.116414,0.118334,0.117601,0.113681,0.115635,0.014542,0.110227,0.112644,0.049911,0.122896,0.111662,0.115710,0.113140,0.112717,0.112260,0.111591,0.115501,0.113913
HAP1_chr07,0.114029,0.116149,0.115159,0.110291,0.112059,0.110280,0.000000,0.051704,0.112906,0.123158,0.109851,0.114966,0.113166,0.111826,0.113631,0.113416,0.114398,0.113021,0.114532,0.116132,0.115912,0.112501,0.113317,0.110517,0.013167,0.051726,0.111065,0.122027,0.108875,0.115451,0.112024,0.112251,0.113136,0.112579,0.114704,0.112816
HAP1_chr08,0.109199,0.111436,0.118010,0.112705,0.115478,0.112911,0.051704,0.000000,0.107330,0.117967,0.113289,0.110128,0.116350,0.114479,0.108860,0.107887,0.110479,0.115398,0.110105,0.111951,0.118053,0.115577,0.116127,0.112905,0.051841,0.018266,0.106761,0.118146,0.112867,0.111239,0.115654,0.114899,0.108941,0.108035,0.109662,0.115607
HAP1_chr09,0.111413,0.113397,0.119569,0.114228,0.117097,0.050177,0.112906,0.107330,0.000000,0.118537,0.113522,0.110585,0.114619,0.115279,0.110132,0.108796,0.110237,0.114883,0.111454,0.113654,0.119297,0.115529,0.117307,0.049634,0.112764,0.108667,0.015834,0.118104,0.113529,0.110560,0.115184,0.114303,0.108123,0.108474,0.110387,0.115605
HAP1_chr10,0.117842,0.119420,0.125334,0.050175,0.123723,0.122697,0.123158,0.117967,0.118537,0.000000,0.121708,0.118593,0.123988,0.123149,0.118603,0.120254,0.119136,0.123219,0.118414,0.118675,0.124773,0.048598,0.123490,0.122647,0.122278,0.118398,0.117976,0.011629,0.121670,0.119893,0.122259,0.123558,0.119578,0.119532,0.119213,0.124566
