unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	4341	2413	8282	6489
HAP1_chr02	HAP2_chr02	chr02	2457	4148	7030	8314
HAP1_chr03	HAP2_chr03	chr03	4046	5032	6453	7379
HAP1_chr04	HAP2_chr04	chr04	3467	2061	5287	4018
HAP1_chr05	HAP2_chr05	chr05	4910	866	7073	3077
HAP1_chr06	HAP2_chr06	chr06	2153	2786	4579	5281
HAP1_chr07	HAP2_chr07	chr07	1088	2214	3499	4663
HAP1_chr08	HAP2_chr08	chr08	1012	3154	3253	5404
HAP1_chr09	HAP2_chr09	chr09	3150	3732	5416	5849
HAP1_chr10	HAP2_chr10	chr10	3249	2061	4732	3755
HAP1_chr11	HAP2_chr11	chr11	1551	2820	3482	4602
HAP1_chr12	HAP2_chr12	chr12	3410	2830	5120	4762
HAP1_chr13	HAP2_chr13	chr13	2297	2420	3553	3661
HAP1_chr14	HAP2_chr14	chr14	70	37	394	361
