unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	4341	2413	8282	6489	0.457247	0.163818
HAP1_chr02	HAP2_chr02	chr02	2457	4148	7030	8314	0.430461	0.138239
HAP1_chr03	HAP2_chr03	chr03	4046	5032	6453	7379	0.656304	0.249047
HAP1_chr04	HAP2_chr04	chr04	3467	2061	5287	4018	0.594089	0.059704
HAP1_chr05	HAP2_chr05	chr05	4910	866	7073	3077	0.569064	0.126448
HAP1_chr06	HAP2_chr06	chr06	2153	2786	4579	5281	0.500913	0.219865
HAP1_chr07	HAP2_chr07	chr07	1088	2214	3499	4663	0.404558	0.251663
HAP1_chr08	HAP2_chr08	chr08	1012	3154	3253	5404	0.481229	0.271664
HAP1_chr09	HAP2_chr09	chr09	3150	3732	5416	5849	0.610919	0.209207
HAP1_chr10	HAP2_chr10	chr10	3249	2061	4732	3755	0.625663	0.233855
HAP1_chr11	HAP2_chr11	chr11	1551	2820	3482	4602	0.540698	0.185360
HAP1_chr12	HAP2_chr12	chr12	3410	2830	5120	4762	0.631451	0.143829
HAP1_chr13	HAP2_chr13	chr13	2297	2420	3553	3661	0.653867	0.176716
HAP1_chr14	HAP2_chr14	chr14	70	37	394	361	0.141722	0.213087
