unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	6584	14	70488	64819
HAP1_chr02	HAP2_chr02	chr02	1723	144	65405	63826
HAP1_chr03	HAP2_chr03	chr03	654	71	68764	68212
HAP1_chr04	HAP2_chr04	chr04	2378	45	63638	62065
HAP1_chr05	HAP2_chr05	chr05	3806	221	43282	40065
HAP1_chr06	HAP2_chr06	chr06	9833	58	51635	42597
HAP1_chr07	HAP2_chr07	chr07	3904	33	57864	54465
HAP1_chr08	HAP2_chr08	chr08	594	66	50810	50282
HAP1_chr09	HAP2_chr09	chr09	2066	132	47285	45466
HAP1_chr10	HAP2_chr10	chr10	764	83	45126	44445
HAP1_chr11	HAP2_chr11	chr11	3025	90	26887	24499
HAP1_chr12	HAP2_chr12	chr12	4957	6	29300	24958
HAP1_chr13	HAP2_chr13	chr13	493	48	18538	18093
HAP1_chr14	HAP2_chr14	chr14	95	1048	20958	21559
HAP1_chr15	HAP2_chr15	chr15	353	236	23429	23312
HAP1_chr16	HAP2_chr16	chr16	1601	3	22072	20846
HAP1_chr17	HAP2_chr17	chr17	39	728	18600	19236
HAP1_chr18	HAP2_chr18	chr18	2527	3	15082	13129
HAP1_chr19	HAP2_chr19	chr19	2479	76	16947	14665
HAP1_chr20	HAP2_chr20	chr20	2135	53	14936	13746
