,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16,HAP4_chr17,HAP4_chr18,HAP4_chr19,HAP4_chr20,HAP4_chr21,HAP4_chr23,HAP4_chr24,HAP4_chr25
HAP1_chr01,0.000000,0.121614,0.116053,0.126505,0.119243,0.123730,0.124315,0.127267,0.122697,0.126915,0.119530,0.121143,0.126490,0.126336,0.123878,0.120792,0.125483,0.119816,0.117995,0.123152,0.120565,0.117837,0.127643,0.128293,0.124668,0.013974,0.121887,0.115847,0.127301,0.119640,0.124678,0.121158,0.126568,0.122725,0.127526,0.120324,0.121521,0.124447,0.126764,0.124062,0.121003,0.126043,0.119506,0.116990,0.124617,0.121056,0.117253,0.124507,0.128708,0.123172,0.014489,0.121902,0.115390,0.126012,0.118677,0.124323,0.119642,0.126461,0.121696,0.124542,0.121136,0.121446,0.126023,0.125916,0.123274,0.120761,0.126224,0.118789,0.117396,0.124513,0.120158,0.124690,0.128273,0.123591,0.013343,0.120287,0.115220,0.124907,0.118610,0.123886,0.120207,0.127162,0.122455,0.123514,0.117546,0.120708,0.125582,0.125453,0.121437,0.120795,0.124194,0.118186,0.117265,0.123267,0.120694,0.125491,0.125715,0.123988
HAP1_chr02,0.121614,0.000000,0.117310,0.125906,0.120712,0.123551,0.124681,0.128390,0.122841,0.126839,0.120987,0.121492,0.126892,0.127036,0.123690,0.122733,0.126711,0.120778,0.118978,0.125746,0.121377,0.119286,0.128158,0.128241,0.124893,0.119916,0.012972,0.117042,0.126514,0.120582,0.124884,0.123450,0.127329,0.123035,0.128032,0.120216,0.121553,0.125167,0.126360,0.124029,0.122747,0.126587,0.120120,0.118000,0.125449,0.121167,0.117999,0.125443,0.128404,0.123752,0.120188,0.012783,0.117527,0.126025,0.120222,0.124759,0.121124,0.126193,0.123441,0.124672,0.121135,0.122350,0.127686,0.126675,0.123443,0.121891,0.127682,0.119524,0.119115,0.124930,0.121917,0.125681,0.127914,0.123606,0.120120,0.012786,0.117469,0.124415,0.120275,0.124180,0.120400,0.127449,0.124253,0.124450,0.118443,0.122468,0.126301,0.125811,0.122617,0.121001,0.125931,0.118421,0.118897,0.124243,0.122166,0.126542,0.126116,0.124468
HAP1_chr03,0.116053,0.117310,0.000000,0.121888,0.115083,0.121611,0.118512,0.126794,0.120342,0.113634,0.117929,0.119890,0.121055,0.125736,0.122228,0.119636,0.124501,0.118250,0.114359,0.123364,0.120043,0.112177,0.126599,0.128831,0.118741,0.114398,0.117864,0.018982,0.123365,0.114604,0.122649,0.117172,0.125924,0.119586,0.122360,0.118662,0.118793,0.113435,0.121695,0.122572,0.119218,0.125480,0.115354,0.112876,0.124366,0.119083,0.111706,0.123567,0.129274,0.119975,0.113765,0.117999,0.018604,0.121001,0.112797,0.122961,0.114203,0.125127,0.119888,0.112424,0.118833,0.119556,0.123579,0.124307,0.120899,0.119186,0.125497,0.114043,0.110761,0.122863,0.119120,0.123445,0.128498,0.115680,0.113400,0.117157,0.018354,0.118675,0.110251,0.121356,0.113758,0.125441,0.119447,0.109613,0.114709,0.118940,0.121610,0.124183,0.120094,0.117632,0.123455,0.112771,0.110088,0.122791,0.119153,0.124570,0.125803,0.114963
HAP1_chr04,0.126505,0.125906,0.121888,0.000000,0.126075,0.127733,0.128494,0.130742,0.127566,0.127388,0.124092,0.123196,0.129131,0.129639,0.124845,0.126933,0.129197,0.124318,0.123280,0.128987,0.124810,0.121491,0.129562,0.130487,0.125720,0.126226,0.126522,0.121691,0.013804,0.126541,0.128591,0.127784,0.130254,0.127762,0.128329,0.122885,0.124190,0.127587,0.128991,0.127055,0.126397,0.129934,0.124233,0.122931,0.129472,0.123785,0.121047,0.127943,0.129560,0.126275,0.125790,0.125753,0.121857,0.015023,0.124356,0.128988,0.126577,0.129177,0.126860,0.126439,0.123964,0.125176,0.129940,0.129701,0.125771,0.126579,0.130227,0.123579,0.127651,0.128826,0.124724,0.128010,0.129737,0.124280,0.125436,0.125547,0.122140,0.013275,0.126845,0.128358,0.127259,0.129737,0.128328,0.124435,0.121409,0.124114,0.129360,0.127997,0.125661,0.125831,0.128874,0.123371,0.127608,0.128201,0.125548,0.127700,0.127924,0.125051
HAP1_chr05,0.119243,0.120712,0.115083,0.126075,0.000000,0.123295,0.122199,0.126842,0.121377,0.125538,0.120195,0.120880,0.126190,0.126482,0.123610,0.121782,0.125765,0.120623,0.116772,0.123950,0.121727,0.117631,0.127384,0.128783,0.125457,0.118355,0.120855,0.114332,0.126448,0.011328,0.124172,0.121229,0.126904,0.121523,0.127814,0.119136,0.120755,0.124664,0.125964,0.124567,0.121855,0.126468,0.118873,0.116185,0.125359,0.121970,0.116647,0.125201,0.129034,0.123818,0.117927,0.120239,0.114611,0.126312,0.011247,0.123689,0.118768,0.126304,0.121749,0.123706,0.120313,0.121510,0.127095,0.126251,0.123566,0.121047,0.126957,0.118262,0.116075,0.123797,0.122433,0.125194,0.128674,0.123306,0.118077,0.119379,0.114353,0.123997,0.011323,0.123453,0.118386,0.126433,0.122352,0.123175,0.117317,0.121136,0.125028,0.124843,0.121938,0.120943,0.125321,0.117642,0.115851,0.123151,0.122243,0.125809,0.126407,0.124358
HAP1_chr06,0.123730,0.123551,0.121611,0.127733,0.123295,0.000000,0.127003,0.129404,0.124225,0.128018,0.123198,0.123574,0.128611,0.128570,0.125961,0.124178,0.128643,0.123180,0.121451,0.127192,0.124139,0.121461,0.128803,0.129846,0.127059,0.122964,0.124453,0.121417,0.128671,0.123198,0.011944,0.125552,0.128792,0.125349,0.129483,0.122585,0.123263,0.127348,0.128505,0.126491,0.124378,0.128374,0.122568,0.121370,0.127992,0.124931,0.120816,0.127133,0.130076,0.125663,0.123047,0.124748,0.121316,0.128120,0.123244,0.012659,0.124070,0.128690,0.125059,0.125377,0.123884,0.124496,0.129190,0.128533,0.125250,0.124537,0.129466,0.122221,0.123551,0.126486,0.123943,0.126584,0.129983,0.126133,0.123272,0.123535,0.122662,0.126668,0.123328,0.011629,0.124653,0.128765,0.125295,0.125705,0.120570,0.123907,0.127323,0.128207,0.124836,0.123815,0.128319,0.120988,0.123224,0.126525,0.124714,0.127356,0.127974,0.126413
HAP1_chr07,0.124315,0.124681,0.118512,0.128494,0.122199,0.127003,0.000000,0.130329,0.124062,0.128605,0.123184,0.125117,0.128966,0.129968,0.118649,0.125083,0.127546,0.123939,0.121029,0.127903,0.124874,0.121033,0.129864,0.131176,0.127620,0.123321,0.124482,0.118684,0.129473,0.122573,0.127943,0.016992,0.129817,0.124968,0.131000,0.122942,0.125167,0.127279,0.127167,0.127836,0.125108,0.129045,0.123266,0.120489,0.127990,0.124747,0.121013,0.127755,0.131318,0.126633,0.122125,0.124204,0.118484,0.129916,0.122440,0.127403,0.016334,0.129629,0.124873,0.128309,0.124003,0.125694,0.129669,0.129260,0.121530,0.125084,0.130574,0.122173,0.122150,0.127392,0.125686,0.127682,0.130776,0.126225,0.119008,0.123977,0.118430,0.127046,0.122795,0.127122,0.016285,0.129839,0.124770,0.126350,0.121112,0.125345,0.128662,0.128670,0.120959,0.124181,0.129479,0.121468,0.122231,0.126792,0.125919,0.128600,0.129111,0.125894
HAP1_chr08,0.127267,0.128390,0.126794,0.130742,0.126842,0.129404,0.130329,0.000000,0.128379,0.129974,0.126108,0.126845,0.130699,0.131131,0.128487,0.128039,0.130089,0.126660,0.124716,0.128915,0.113389,0.125768,0.131334,0.132133,0.129230,0.126589,0.128400,0.126779,0.131140,0.127162,0.126526,0.129647,0.014368,0.129189,0.131632,0.125525,0.126841,0.129321,0.130810,0.128525,0.128192,0.130692,0.126073,0.123945,0.129044,0.113833,0.125247,0.129461,0.132384,0.127530,0.126758,0.127943,0.127204,0.130572,0.126977,0.126514,0.128478,0.014784,0.128282,0.129276,0.125887,0.127260,0.131165,0.130704,0.128056,0.128265,0.131422,0.125452,0.128027,0.129349,0.113487,0.128749,0.131290,0.126759,0.127575,0.127373,0.127347,0.128729,0.127110,0.126539,0.129516,0.013661,0.128575,0.127968,0.124410,0.127009,0.130964,0.129854,0.126876,0.128035,0.130414,0.125348,0.127989,0.128548,0.127955,0.130103,0.130289,0.129274
HAP1_chr09,0.122697,0.122841,0.120342,0.127566,0.121377,0.124225,0.124062,0.128379,0.000000,0.126503,0.122145,0.122604,0.127945,0.127452,0.124444,0.122890,0.126932,0.121458,0.119246,0.125502,0.123389,0.120190,0.129154,0.129237,0.125566,0.120583,0.123101,0.119350,0.128503,0.121034,0.124631,0.123516,0.127523,0.013260,0.128464,0.121165,0.123003,0.125776,0.126532,0.125273,0.123445,0.128078,0.121213,0.119629,0.126247,0.123325,0.120134,0.125725,0.129587,0.124520,0.120629,0.123612,0.119548,0.128201,0.121329,0.125560,0.122004,0.127855,0.012298,0.125230,0.121923,0.123570,0.128371,0.128022,0.123803,0.123141,0.128589,0.120878,0.121193,0.124713,0.123441,0.125515,0.128227,0.125127,0.121077,0.121500,0.120061,0.125872,0.121821,0.124656,0.121784,0.127963,0.012297,0.125318,0.119481,0.123068,0.127432,0.127303,0.123979,0.122140,0.127461,0.119757,0.120620,0.123889,0.123442,0.126836,0.126624,0.125135
HAP1_chr10,0.126915,0.126839,0.113634,0.127388,0.125538,0.128018,0.128605,0.129974,0.126503,0.000000,0.124305,0.125914,0.127440,0.129918,0.126668,0.126775,0.128862,0.125595,0.123641,0.128141,0.126652,0.122454,0.129327,0.131046,0.125177,0.125894,0.126239,0.115369,0.128169,0.125318,0.127966,0.128562,0.129200,0.127125,0.012177,0.124088,0.125504,0.126321,0.128207,0.127448,0.128100,0.130475,0.124945,0.122333,0.129188,0.126007,0.121954,0.128283,0.131217,0.126619,0.126281,0.125963,0.114983,0.127982,0.125295,0.128594,0.126890,0.129209,0.126881,0.012933,0.124136,0.126114,0.129435,0.129684,0.125637,0.127317,0.130257,0.124083,0.126951,0.128528,0.126067,0.127980,0.129973,0.124988,0.125210,0.125255,0.113953,0.125174,0.123794,0.128214,0.128043,0.129157,0.127752,0.012737,0.122673,0.126049,0.128665,0.129217,0.125849,0.126863,0.129309,0.122944,0.125977,0.127171,0.126923,0.128206,0.128854,0.122842
