chrom	n_haplotype_copies	haplotype_labels
chr01	4	HAP1,HAP2,HAP3,HAP4
chr02	4	HAP1,HAP2,HAP3,HAP4
chr03	4	HAP1,HAP2,HAP3,HAP4
chr04	4	HAP1,HAP2,HAP3,HAP4
chr05	4	HAP1,HAP2,HAP3,HAP4
chr06	4	HAP1,HAP2,HAP3,HAP4
chr07	4	HAP1,HAP2,HAP3,HAP4
chr08	4	HAP1,HAP2,HAP3,HAP4
chr09	4	HAP1,HAP2,HAP3,HAP4
chr10	4	HAP1,HAP2,HAP3,HAP4
chr11	4	HAP1,HAP2,HAP3,HAP4
chr12	4	HAP1,HAP2,HAP3,HAP4
chr13	4	HAP1,HAP2,HAP3,HAP4
chr14	4	HAP1,HAP2,HAP3,HAP4
chr15	4	HAP1,HAP2,HAP3,HAP4
chr16	4	HAP1,HAP2,HAP3,HAP4
chr17	4	HAP1,HAP2,HAP3,HAP4
chr18	4	HAP1,HAP2,HAP3,HAP4
chr19	4	HAP1,HAP2,HAP3,HAP4
chr20	4	HAP1,HAP2,HAP3,HAP4
chr21	4	HAP1,HAP2,HAP3,HAP4
chr22	2	HAP1,HAP2
chr23	4	HAP1,HAP2,HAP3,HAP4
chr24	4	HAP1,HAP2,HAP3,HAP4
chr25	4	HAP1,HAP2,HAP3,HAP4
