chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.021073	chr16	0.066390	-6.976	2.27326e-11	3.53
chr02	2	0.018737	chr15	0.061055	-7.879	4.996e-14	3.47
chr03	2	0.017376	chr04	0.061564	-7.793	7.86038e-14	3.41
chr04	2	0.018713	chr03	0.061564	-7.793	7.86038e-14	3.41
chr05	2	0.020637	chr11	0.060309	-8.005	3.66374e-14	3.48
chr06	2	0.019766	chr09	0.060288	-8.009	3.66374e-14	3.16
chr07	2	0.018463	chr08	0.063994	-7.382	1.33893e-12	3.40
chr08	2	0.019137	chr07	0.063994	-7.382	1.33893e-12	3.40
chr09	2	0.018332	chr06	0.060288	-8.009	3.66374e-14	3.16
chr10	2	0.018613	chr13	0.062268	-7.674	1.66533e-13	3.24
chr11	2	0.014009	chr05	0.060309	-8.005	3.66374e-14	3.48
chr12	2	0.019826	chr14	0.060740	-7.932	4.21885e-14	3.27
chr13	2	0.019857	chr10	0.062268	-7.674	1.66533e-13	3.24
chr14	2	0.017346	chr12	0.060740	-7.932	4.21885e-14	3.27
chr15	2	0.016423	chr02	0.061055	-7.879	4.996e-14	3.47
chr16	2	0.016586	chr01	0.066390	-6.976	2.27326e-11	3.53
