unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	4753	1012	6769	3278
HAP1_chr01	HAP3_chr01	chr01	5085	839	6769	2600
HAP1_chr01	HAP4_chr01	chr01	4558	1272	6769	3667
HAP2_chr01	HAP3_chr01	chr01	912	211	3278	2600
HAP2_chr01	HAP4_chr01	chr01	157	545	3278	3667
HAP3_chr01	HAP4_chr01	chr01	69	1158	2600	3667
HAP1_chr02	HAP2_chr02	chr02	15002	1054	16226	2394
HAP1_chr02	HAP3_chr02	chr02	15085	2920	16226	4191
HAP1_chr02	HAP4_chr02	chr02	14928	1527	16226	2909
HAP2_chr02	HAP3_chr02	chr02	1209	2998	2394	4191
HAP2_chr02	HAP4_chr02	chr02	319	843	2394	2909
HAP3_chr02	HAP4_chr02	chr02	2877	1634	4191	2909
HAP1_chr03	HAP2_chr03	chr03	2090	7968	4990	10940
HAP1_chr03	HAP3_chr03	chr03	2159	4782	4990	7764
HAP1_chr03	HAP4_chr03	chr03	2006	13101	4990	16100
HAP2_chr03	HAP3_chr03	chr03	4273	675	10940	7764
HAP2_chr03	HAP4_chr03	chr03	740	5995	10940	16100
HAP3_chr03	HAP4_chr03	chr03	631	9356	7764	16100
HAP1_chr04	HAP2_chr04	chr04	1894	2700	3922	4796
HAP1_chr04	HAP3_chr04	chr04	1872	2897	3922	5224
HAP1_chr04	HAP4_chr04	chr04	1966	2678	3922	4838
HAP2_chr04	HAP3_chr04	chr04	2469	2849	4796	5224
HAP2_chr04	HAP4_chr04	chr04	2588	2588	4796	4838
HAP3_chr04	HAP4_chr04	chr04	1291	1446	5224	4838
HAP1_chr05	HAP2_chr05	chr05	1774	2261	3705	4191
HAP1_chr05	HAP3_chr05	chr05	1824	1920	3705	3796
HAP1_chr05	HAP4_chr05	chr05	1960	1379	3705	3166
HAP2_chr05	HAP3_chr05	chr05	780	418	4191	3796
HAP2_chr05	HAP4_chr05	chr05	1314	302	4191	3166
HAP3_chr05	HAP4_chr05	chr05	1066	416	3796	3166
HAP1_chr06	HAP2_chr06	chr06	3111	770	4488	2133
HAP1_chr06	HAP3_chr06	chr06	3096	954	4488	2323
HAP1_chr06	HAP4_chr06	chr06	3202	708	4488	1975
HAP2_chr06	HAP3_chr06	chr06	148	349	2133	2323
HAP2_chr06	HAP4_chr06	chr06	340	182	2133	1975
HAP3_chr06	HAP4_chr06	chr06	474	123	2323	1975
HAP1_chr07	HAP2_chr07	chr07	2943	997	4760	2874
HAP1_chr07	HAP3_chr07	chr07	2998	1447	4760	3304
HAP1_chr07	HAP4_chr07	chr07	3864	284	4760	1264
HAP2_chr07	HAP3_chr07	chr07	300	695	2874	3304
HAP2_chr07	HAP4_chr07	chr07	1707	77	2874	1264
HAP3_chr07	HAP4_chr07	chr07	2226	278	3304	1264
HAP1_chr08	HAP2_chr08	chr08	1054	2349	2866	4124
HAP1_chr08	HAP3_chr08	chr08	1144	2433	2866	4113
HAP1_chr08	HAP4_chr08	chr08	1338	1348	2866	2842
HAP2_chr08	HAP3_chr08	chr08	819	807	4124	4113
HAP2_chr08	HAP4_chr08	chr08	1401	119	4124	2842
HAP3_chr08	HAP4_chr08	chr08	1394	126	4113	2842
