chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr07	chr10	0.070458	-3.217	0.000646992	0.362962	False
chr17	chr21	0.070807	-2.970	0.00149012	0.373476	False
chr12	chr17	0.070990	-2.840	0.00225393	0.373476	False
chr05	chr15	0.071066	-2.787	0.00266293	0.373476	False
chr01	chr10	0.071503	-2.477	0.00662486	0.718715	False
chr15	chr17	0.071687	-2.347	0.00946431	0.718715	False
chr10	chr17	0.071788	-2.276	0.0114342	0.718715	False
chr01	chr07	0.071850	-2.232	0.0128159	0.718715	False
chr17	chr22	0.071876	-2.214	0.0134248	0.718715	False
chr14	chr17	0.071968	-2.149	0.0158338	0.718715	False
chr05	chr06	0.071986	-2.135	0.0163678	0.718715	False
chr15	chr22	0.072013	-2.117	0.0171488	0.718715	False
chr16	chr17	0.072043	-2.095	0.0180869	0.718715	False
chr17	chr29	0.072055	-2.087	0.0184518	0.718715	False
chr17	chr19	0.072078	-2.070	0.019217	0.718715	False
chr10	chr15	0.072203	-1.982	0.0237451	0.723327	False
chr17	chr23	0.072217	-1.972	0.0242951	0.723327	False
chr10	chr14	0.072220	-1.970	0.0244368	0.723327	False
chr14	chr15	0.072222	-1.969	0.0244977	0.723327	False
chr05	chr17	0.072307	-1.908	0.0281766	0.735735	False
chr18	chr22	0.072328	-1.894	0.0291268	0.735735	False
chr05	chr10	0.072328	-1.894	0.0291385	0.735735	False
chr16	chr20	0.072349	-1.878	0.0301638	0.735735	False
chr29	chr32	0.072542	-1.742	0.0407569	0.784066	False
chr10	chr16	0.072624	-1.684	0.0460803	0.784066	False
chr07	chr17	0.072646	-1.668	0.0476396	0.784066	False
chr10	chr19	0.072664	-1.656	0.0488992	0.784066	False
chr15	chr16	0.072672	-1.650	0.0494937	0.784066	False
chr01	chr12	0.072682	-1.643	0.0502037	0.784066	False
chr15	chr23	0.072722	-1.615	0.0532018	0.784066	False
chr10	chr23	0.072723	-1.614	0.0532977	0.784066	False
chr06	chr22	0.072749	-1.595	0.0553441	0.784066	False
chr14	chr16	0.072769	-1.581	0.0569243	0.784066	False
chr23	chr25	0.072820	-1.545	0.0611478	0.784066	False
chr19	chr29	0.072822	-1.544	0.0613191	0.784066	False
chr05	chr14	0.072835	-1.535	0.0624419	0.784066	False
chr04	chr11	0.072835	-1.534	0.0624854	0.784066	False
chr14	chr19	0.072848	-1.525	0.0635806	0.784066	False
chr14	chr22	0.072865	-1.513	0.0650941	0.784066	False
chr15	chr19	0.072870	-1.510	0.0654993	0.784066	False
chr10	chr12	0.072872	-1.509	0.0657027	0.784066	False
chr22	chr29	0.072875	-1.507	0.0659519	0.784066	False
chr15	chr29	0.072878	-1.504	0.0662702	0.784066	False
chr16	chr19	0.072882	-1.502	0.0666125	0.784066	False
chr05	chr13	0.072888	-1.497	0.067186	0.784066	False
chr07	chr15	0.072909	-1.482	0.0691175	0.784066	False
chr16	chr23	0.072911	-1.481	0.069306	0.784066	False
chr11	chr16	0.072917	-1.477	0.0698973	0.784066	False
chr05	chr16	0.072931	-1.466	0.0712841	0.784066	False
chr14	chr23	0.072964	-1.443	0.0744941	0.784066	False
chr09	chr19	0.072970	-1.439	0.0750439	0.784066	False
chr10	chr22	0.072978	-1.433	0.0758995	0.784066	False
chr16	chr29	0.073014	-1.408	0.0795275	0.784066	False
chr16	chr22	0.073026	-1.399	0.0808716	0.784066	False
chr17	chr24	0.073029	-1.397	0.0812169	0.784066	False
chr08	chr14	0.073033	-1.394	0.0816168	0.784066	False
chr12	chr15	0.073051	-1.382	0.0835295	0.784066	False
chr17	chr28	0.073058	-1.377	0.084293	0.784066	False
chr05	chr12	0.073070	-1.368	0.0855864	0.784066	False
chr12	chr21	0.073078	-1.362	0.0865313	0.784066	False
chr10	chr29	0.073085	-1.357	0.0873433	0.784066	False
chr05	chr19	0.073093	-1.352	0.0881328	0.784066	False
chr12	chr14	0.073111	-1.339	0.0902447	0.784066	False
chr19	chr22	0.073123	-1.331	0.0916055	0.784066	False
chr01	chr17	0.073127	-1.328	0.0921014	0.784066	False
chr22	chr23	0.073152	-1.310	0.0950289	0.784066	False
chr08	chr24	0.073162	-1.303	0.0962612	0.784066	False
chr01	chr05	0.073184	-1.288	0.0989457	0.784066	False
chr04	chr10	0.073186	-1.286	0.0991615	0.784066	False
chr14	chr29	0.073192	-1.282	0.0999663	0.784066	False
chr05	chr07	0.073193	-1.281	0.100028	0.784066	False
chr07	chr14	0.073216	-1.265	0.102884	0.784066	False
chr12	chr19	0.073219	-1.263	0.10336	0.784066	False
chr23	chr29	0.073220	-1.262	0.103424	0.784066	False
chr12	chr16	0.073231	-1.254	0.104895	0.784618	False
chr17	chr18	0.073244	-1.245	0.10661	0.786947	False
chr04	chr17	0.073262	-1.233	0.108838	0.792964	False
chr07	chr16	0.073294	-1.210	0.113226	0.805486	False
chr19	chr23	0.073305	-1.202	0.114761	0.805486	False
chr05	chr23	0.073306	-1.201	0.114864	0.805486	False
chr17	chr26	0.073345	-1.173	0.120307	0.833235	False
chr08	chr17	0.073383	-1.147	0.125745	0.833882	False
chr05	chr22	0.073383	-1.147	0.125782	0.833882	False
chr24	chr28	0.073398	-1.136	0.127916	0.833882	False
chr07	chr19	0.073402	-1.133	0.128621	0.833882	False
chr12	chr28	0.073422	-1.119	0.131542	0.833882	False
chr05	chr29	0.073430	-1.113	0.132791	0.833882	False
chr11	chr17	0.073450	-1.100	0.135738	0.833882	False
chr06	chr10	0.073461	-1.092	0.13752	0.833882	False
chr08	chr10	0.073463	-1.090	0.137792	0.833882	False
chr06	chr17	0.073464	-1.089	0.138026	0.833882	False
chr15	chr18	0.073482	-1.077	0.140775	0.833882	False
chr19	chr28	0.073484	-1.075	0.141131	0.833882	False
chr07	chr12	0.073492	-1.070	0.142362	0.833882	False
chr04	chr14	0.073496	-1.067	0.14304	0.833882	False
chr12	chr18	0.073503	-1.062	0.144202	0.833882	False
chr14	chr27	0.073512	-1.056	0.145573	0.833882	False
chr01	chr19	0.073518	-1.051	0.146627	0.833882	False
chr02	chr29	0.073522	-1.049	0.147156	0.833882	False
chr10	chr24	0.073542	-1.034	0.150562	0.839403	False
chr21	chr29	0.073559	-1.022	0.15335	0.839403	False
chr14	chr24	0.073559	-1.022	0.153392	0.839403	False
chr12	chr29	0.073570	-1.014	0.1552	0.839403	False
chr12	chr23	0.073579	-1.008	0.156639	0.839403	False
chr01	chr16	0.073608	-0.987	0.161788	0.839403	False
chr01	chr14	0.073609	-0.987	0.161918	0.839403	False
chr12	chr26	0.073613	-0.984	0.162614	0.839403	False
chr15	chr24	0.073613	-0.984	0.162657	0.839403	False
chr19	chr26	0.073616	-0.982	0.163093	0.839403	False
chr07	chr23	0.073647	-0.960	0.168467	0.854524	False
chr10	chr11	0.073666	-0.947	0.171917	0.854524	False
chr07	chr22	0.073690	-0.929	0.176327	0.854524	False
chr01	chr15	0.073692	-0.928	0.176694	0.854524	False
chr12	chr22	0.073693	-0.927	0.176878	0.854524	False
chr18	chr19	0.073696	-0.925	0.17743	0.854524	False
chr01	chr04	0.073706	-0.918	0.179276	0.854524	False
chr08	chr15	0.073708	-0.916	0.179739	0.854524	False
chr19	chr24	0.073709	-0.916	0.179739	0.854524	False
chr04	chr05	0.073730	-0.901	0.183804	0.860219	False
chr15	chr28	0.073739	-0.895	0.185455	0.860219	False
chr16	chr24	0.073757	-0.882	0.18888	0.860219	False
chr06	chr15	0.073758	-0.881	0.189071	0.860219	False
chr10	chr18	0.073778	-0.867	0.192973	0.860219	False
chr07	chr29	0.073779	-0.866	0.193216	0.860219	False
chr22	chr24	0.073796	-0.855	0.196385	0.860219	False
chr05	chr08	0.073800	-0.852	0.19712	0.860219	False
chr10	chr28	0.073802	-0.850	0.197661	0.860219	False
chr17	chr30	0.073804	-0.849	0.197956	0.860219	False
chr17	chr25	0.073807	-0.847	0.198597	0.860219	False
chr06	chr18	0.073811	-0.844	0.199338	0.860219	False
chr23	chr24	0.073829	-0.831	0.202916	0.862099	False
chr07	chr08	0.073833	-0.828	0.203817	0.862099	False
chr04	chr15	0.073840	-0.823	0.205122	0.862099	False
chr16	chr28	0.073857	-0.811	0.20861	0.862099	False
chr14	chr28	0.073862	-0.808	0.209678	0.862099	False
chr12	chr25	0.073871	-0.801	0.211517	0.862099	False
chr26	chr28	0.073874	-0.799	0.212029	0.862099	False
chr11	chr15	0.073886	-0.791	0.214551	0.862099	False
chr21	chr22	0.073896	-0.784	0.216622	0.862099	False
chr15	chr21	0.073900	-0.781	0.217506	0.862099	False
chr19	chr21	0.073901	-0.780	0.217662	0.862099	False
chr24	chr29	0.073906	-0.777	0.218653	0.862099	False
chr28	chr29	0.073911	-0.773	0.219751	0.862099	False
chr17	chr32	0.073924	-0.764	0.22243	0.866551	False
chr22	chr28	0.073956	-0.742	0.229183	0.875751	False
chr08	chr16	0.073966	-0.734	0.231441	0.875751	False
