chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.002189					
chr02	2	0.001480					
chr03	2	0.001928					
chr04	2	0.002678					
chr05	2	0.000980					
chr06	2	0.002258					
chr07	2	0.002315					
chr08	2	0.002565					
chr09	2	0.001788					
chr10	2	0.002422					
chr11	2	0.001340					
chr12	2	0.001211					
chr13	2	0.002762					
chr14	2	0.002553					
chr15	2	0.002642					
chr16	2	0.003680					
chr17	2	0.002178					
chr18	2	0.002086					
chr19	2	0.002342					
chr20	2	0.003455					
chr21	2	0.001722					
chr22	2	0.002461					
chr23	2	0.003304					
chr24	2	0.002847					
chr25	2	0.002223					
chr26	2	0.002222					
chr27	2	0.001993					
chr28	2	0.003442					
chr29	2	0.002122					
chr30	2	0.002510					
chr31	2	0.002198					
chr32	2	0.003830					
chr33	2	0.002895					
chr34	2	0.001362					
