unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	960	857	18943	18840
HAP1_chr02	HAP2_chr02	chr02	2040	21591	13647	29117
HAP1_chr03	HAP2_chr03	chr03	1447	1140	21295	20988
HAP1_chr04	HAP2_chr04	chr04	5316	1013	19366	15336
HAP1_chr05	HAP2_chr05	chr05	806	859	18989	19042
HAP1_chr06	HAP2_chr06	chr06	523	1848	24932	26254
HAP1_chr07	HAP2_chr07	chr07	6349	1540	14925	10339
HAP1_chr08	HAP2_chr08	chr08	1018	1505	14247	14734
HAP1_chr09	HAP2_chr09	chr09	841	4813	8744	12719
HAP1_chr10	HAP2_chr10	chr10	833	1141	14758	15066
HAP1_chr11	HAP2_chr11	chr11	768	953	14033	14301
HAP1_chr12	HAP2_chr12	chr12	739	782	13570	13613
HAP1_chr13	HAP2_chr13	chr13	633	551	13464	13382
HAP1_chr14	HAP2_chr14	chr14	4149	2921	15573	14417
HAP1_chr15	HAP2_chr15	chr15	939	3031	11888	13970
HAP1_chr16	HAP2_chr16	chr16	5194	813	11745	7527
HAP1_chr17	HAP2_chr17	chr17	1106	559	13439	12892
HAP1_chr18	HAP2_chr18	chr18	2356	283	21044	18971
HAP1_chr19	HAP2_chr19	chr19	789	733	12575	12523
HAP1_chr20	HAP2_chr20	chr20	3058	781	15060	12777
HAP1_chr21	HAP2_chr21	chr21	1349	942	9082	8680
HAP1_chr22	HAP2_chr22	chr22	3645	1371	14698	12503
HAP1_chr23	HAP2_chr23	chr23	1582	220	10084	8723
HAP1_chr24	HAP2_chr24	chr24	1667	330	8226	6889
HAP1_chr25	HAP2_chr25	chr25	774	2058	7157	8442
HAP1_chr26	HAP2_chr26	chr26	952	1013	11944	12005
HAP1_chr27	HAP2_chr27	chr27	3120	406	8785	6108
HAP1_chr28	HAP2_chr28	chr28	1403	459	9033	8089
HAP1_chr29	HAP2_chr29	chr29	629	1220	8459	9050
HAP1_chr30	HAP2_chr30	chr30	2080	82	15707	13708
HAP1_chr31	HAP2_chr31	chr31	4830	542	13864	9728
HAP1_chr32	HAP2_chr32	chr32	1155	5487	6710	10654
HAP1_chr33	HAP2_chr33	chr33	322	3195	6503	9382
HAP1_chr34	HAP2_chr34	chr34	671	2303	7430	9045
