,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr01,0.000000,0.080288,0.080377,0.081625,0.081238,0.052043,0.038607,0.085311,0.084760,0.086023,0.082623,0.083008,0.081592,0.043055,0.087370,0.083433,0.082892,0.084067,0.045180,0.080512,0.085220,0.081737,0.086059,0.046529,0.086301,0.081614,0.082614,0.083327,0.082358,0.082388,0.081544,0.051493,0.082497,0.083818,0.088234,0.084832
HAP1_chr02,0.080288,0.000000,0.032312,0.080351,0.080736,0.083856,0.079903,0.082990,0.083261,0.084019,0.080755,0.080606,0.080134,0.081364,0.084931,0.081901,0.081654,0.082195,0.080661,0.015694,0.041019,0.080268,0.084023,0.081298,0.083451,0.079332,0.080934,0.081075,0.080490,0.080235,0.079778,0.084279,0.081007,0.082202,0.085633,0.084096
HAP1_chr03,0.080377,0.032312,0.000000,0.081135,0.080381,0.082980,0.080082,0.082014,0.082276,0.083286,0.081304,0.081052,0.079725,0.080789,0.084254,0.080997,0.081694,0.081617,0.081578,0.033139,0.037516,0.080692,0.083352,0.080682,0.083908,0.080530,0.080530,0.080873,0.081074,0.081241,0.079209,0.083135,0.081474,0.081660,0.085069,0.082960
HAP1_chr04,0.081625,0.080351,0.081135,0.000000,0.025312,0.084803,0.081098,0.084399,0.084800,0.085343,0.081509,0.081743,0.082186,0.082794,0.086423,0.083604,0.083284,0.083821,0.081689,0.080247,0.084300,0.018555,0.037798,0.083304,0.084225,0.080564,0.082300,0.082440,0.081530,0.081228,0.081521,0.085693,0.082363,0.083740,0.087266,0.086203
HAP1_chr05,0.081238,0.080736,0.080381,0.025312,0.000000,0.085551,0.081428,0.085026,0.084595,0.085950,0.082518,0.082599,0.080998,0.082014,0.086921,0.082460,0.082484,0.083258,0.082776,0.080995,0.085006,0.027174,0.040334,0.081535,0.085572,0.081807,0.082154,0.082908,0.082505,0.082473,0.081214,0.085506,0.082284,0.082820,0.087760,0.083785
HAP1_chr06,0.052043,0.083856,0.082980,0.084803,0.085551,0.000000,0.036506,0.079339,0.080126,0.079536,0.084507,0.084166,0.083972,0.084863,0.080340,0.085361,0.085644,0.084707,0.084729,0.083574,0.079374,0.084513,0.080219,0.039754,0.056497,0.083899,0.084485,0.083925,0.084544,0.083996,0.083158,0.080752,0.085347,0.085157,0.081205,0.086888
HAP1_chr07,0.038607,0.079903,0.080082,0.081098,0.081428,0.036506,0.000000,0.083101,0.083301,0.084004,0.080942,0.080844,0.080437,0.081359,0.084926,0.081859,0.082437,0.081902,0.080952,0.080042,0.083479,0.080954,0.084531,0.029879,0.046895,0.080218,0.080963,0.080874,0.080958,0.080830,0.079879,0.084133,0.081631,0.081663,0.085154,0.083933
HAP1_chr08,0.085311,0.082990,0.082014,0.084399,0.085026,0.079339,0.083101,0.000000,0.079412,0.078977,0.083266,0.083361,0.042384,0.083748,0.079376,0.083786,0.084308,0.083223,0.083880,0.083161,0.078605,0.084116,0.079986,0.084789,0.084174,0.042511,0.083125,0.082809,0.083307,0.083157,0.041439,0.079764,0.083590,0.083700,0.079511,0.085304
HAP1_chr09,0.084760,0.083261,0.082276,0.084800,0.084595,0.080126,0.083301,0.079412,0.000000,0.079760,0.040848,0.083897,0.082841,0.083708,0.080181,0.083809,0.083566,0.082968,0.084150,0.083129,0.079938,0.084294,0.080829,0.083960,0.084618,0.083203,0.040690,0.083480,0.041439,0.083699,0.082339,0.080088,0.083524,0.083775,0.080663,0.084326
HAP1_chr10,0.086023,0.084019,0.083286,0.085343,0.085950,0.079536,0.084004,0.078977,0.079760,0.000000,0.083931,0.037987,0.083841,0.084507,0.079932,0.085013,0.085355,0.084620,0.084480,0.083919,0.079406,0.084941,0.080676,0.085308,0.085170,0.083740,0.084005,0.037070,0.084198,0.038826,0.083079,0.080409,0.084868,0.084650,0.080132,0.086579
