,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16
HAP1_chr01,0.000000,0.097516,0.099666,0.096910,0.124873,0.100551,0.101383,0.126220,0.124257,0.109278,0.101137,0.127582,0.092201,0.127391,0.120884,0.135875,0.000017,0.097502,0.099658,0.096893,0.124848,0.100519,0.101216,0.126226,0.124269,0.109272,0.101125,0.127536,0.092196,0.127353,0.120889,0.135852
HAP1_chr02,0.097516,0.000000,0.099422,0.096327,0.125207,0.099692,0.101310,0.096615,0.115100,0.122853,0.101440,0.121996,0.126710,0.126573,0.120302,0.127088,0.097501,0.000011,0.099422,0.096307,0.125173,0.099667,0.101154,0.096547,0.115109,0.122848,0.101429,0.121957,0.126699,0.126535,0.120237,0.127071
HAP1_chr03,0.099666,0.099422,0.000000,0.097486,0.081233,0.101078,0.101696,0.125836,0.124527,0.123269,0.102313,0.126988,0.127428,0.126714,0.130485,0.134395,0.099649,0.099367,0.000051,0.097486,0.081240,0.101057,0.101598,0.125874,0.124539,0.123262,0.102288,0.127003,0.127524,0.126673,0.130251,0.134346
HAP1_chr04,0.096910,0.096327,0.097486,0.000000,0.122952,0.095466,0.097145,0.120922,0.097555,0.099050,0.098045,0.124371,0.123544,0.122033,0.125629,0.128324,0.096874,0.096300,0.097509,0.000027,0.122951,0.095394,0.097052,0.120977,0.097568,0.099048,0.098014,0.124326,0.123562,0.121993,0.125610,0.128312
HAP1_chr05,0.124873,0.125207,0.081233,0.122952,0.000000,0.126470,0.127034,0.108103,0.106517,0.106014,0.127725,0.109779,0.110203,0.109545,0.111871,0.115731,0.124865,0.125187,0.081241,0.122960,0.000082,0.126457,0.126878,0.108173,0.106544,0.106008,0.127722,0.109800,0.110265,0.109549,0.111727,0.115708
HAP1_chr06,0.100551,0.099692,0.101078,0.095466,0.126470,0.000000,0.099163,0.125490,0.123070,0.121848,0.100093,0.127486,0.126053,0.082078,0.129414,0.132351,0.100547,0.099621,0.101102,0.095473,0.126440,0.000041,0.099064,0.125493,0.123085,0.121841,0.100070,0.127437,0.126033,0.082051,0.129355,0.132338
HAP1_chr07,0.101383,0.101310,0.101696,0.097145,0.127034,0.099163,0.000000,0.118353,0.124747,0.117852,0.101023,0.127572,0.127520,0.127064,0.117609,0.098405,0.101378,0.101241,0.101731,0.097144,0.127040,0.099132,0.000225,0.118378,0.124760,0.117851,0.101002,0.127524,0.127542,0.127018,0.117559,0.098398
HAP1_chr08,0.126220,0.096615,0.125836,0.120922,0.108103,0.125490,0.118353,0.000000,0.103634,0.102110,0.126553,0.107682,0.107331,0.106844,0.107823,0.110095,0.126218,0.096607,0.125838,0.120937,0.108083,0.125474,0.118326,0.000083,0.103678,0.102108,0.126545,0.107664,0.107504,0.106846,0.107712,0.110075
HAP1_chr09,0.124257,0.115100,0.124527,0.097555,0.106517,0.123070,0.124747,0.103634,0.000000,0.099971,0.118608,0.105797,0.105817,0.104491,0.106114,0.108333,0.124253,0.115086,0.124519,0.097548,0.106498,0.123061,0.124571,0.103686,0.000017,0.099965,0.118605,0.105790,0.105881,0.104496,0.105960,0.108301
HAP1_chr10,0.109278,0.122853,0.123269,0.099050,0.106014,0.121848,0.117852,0.102110,0.099971,0.000000,0.123662,0.105460,0.105201,0.103362,0.105660,0.108400,0.109281,0.122816,0.123270,0.099041,0.106000,0.121847,0.117783,0.102157,0.099991,0.000009,0.123656,0.105445,0.105247,0.103365,0.105612,0.108361
