unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	4136	5596	9829	11575
HAP1_chr02	HAP2_chr02	chr02	325	1526	6231	6867
HAP1_chr03	HAP2_chr03	chr03	1602	145	4166	2885
HAP1_chr04	HAP2_chr04	chr04	177	1083	4216	5008
HAP1_chr05	HAP2_chr05	chr05	686	3783	4268	6935
HAP1_chr06	HAP2_chr06	chr06	1484	257	4254	3247
HAP1_chr07	HAP2_chr07	chr07	153	1577	3154	4572
HAP1_chr08	HAP2_chr08	chr08	1555	1229	4124	4199
HAP1_chr09	HAP2_chr09	chr09	960	2106	5712	6519
HAP1_chr10	HAP2_chr10	chr10	158	1221	3889	4948
HAP1_chr11	HAP2_chr11	chr11	241	1579	2732	3796
HAP1_chr12	HAP2_chr12	chr12	866	2068	3790	4624
HAP1_chr13	HAP2_chr13	chr13	1660	2398	7282	7989
HAP1_chr14	HAP2_chr14	chr14	840	314	2792	2684
HAP1_chr15	HAP2_chr15	chr15	149	927	2670	3266
HAP1_chr16	HAP2_chr16	chr16	13	4750	3651	7528
HAP1_chr17	HAP2_chr17	chr17	1253	401	5060	4547
HAP1_chr18	HAP2_chr18	chr18	3138	728	7038	4915
HAP1_chr19	HAP2_chr19	chr19	55	1207	3036	3787
HAP1_chr20	HAP2_chr20	chr20	1501	2853	2923	4284
HAP1_chr21	HAP2_chr21	chr21	1794	1927	2770	3697
HAP1_chr22	HAP2_chr22	chr22	151	2677	3069	5082
HAP1_chr23	HAP2_chr23	chr23	1649	255	3294	2231
HAP1_chr24	HAP2_chr24	chr24	1498	3994	3401	6325
HAP1_chr25	HAP2_chr25	chr25	1040	1691	1353	2084
HAP1_chr26	HAP2_chr26	chr26	1725	2884	3887	4857
