unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	4136	5596	9829	11575	0.454681	0.244497
HAP1_chr02	HAP2_chr02	chr02	325	1526	6231	6867	0.141319	0.333048
HAP1_chr03	HAP2_chr03	chr03	1602	145	4166	2885	0.247766	0.638713
HAP1_chr04	HAP2_chr04	chr04	177	1083	4216	5008	0.136600	0.007895
HAP1_chr05	HAP2_chr05	chr05	686	3783	4268	6935	0.398911	0.635468
HAP1_chr06	HAP2_chr06	chr06	1484	257	4254	3247	0.232102	0.616951
HAP1_chr07	HAP2_chr07	chr07	153	1577	3154	4572	0.223919	0.658396
HAP1_chr08	HAP2_chr08	chr08	1555	1229	4124	4199	0.334495	0.076061
HAP1_chr09	HAP2_chr09	chr09	960	2106	5712	6519	0.250675	0.048650
HAP1_chr10	HAP2_chr10	chr10	158	1221	3889	4948	0.156048	0.496122
HAP1_chr11	HAP2_chr11	chr11	241	1579	2732	3796	0.278799	0.008812
HAP1_chr12	HAP2_chr12	chr12	866	2068	3790	4624	0.348705	0.007731
HAP1_chr13	HAP2_chr13	chr13	1660	2398	7282	7989	0.265732	0.097052
HAP1_chr14	HAP2_chr14	chr14	840	314	2792	2684	0.210738	0.633777
HAP1_chr15	HAP2_chr15	chr15	149	927	2670	3266	0.181267	0.741190
HAP1_chr16	HAP2_chr16	chr16	13	4750	3651	7528	0.426067	0.589075
HAP1_chr17	HAP2_chr17	chr17	1253	401	5060	4547	0.172166	0.051308
HAP1_chr18	HAP2_chr18	chr18	3138	728	7038	4915	0.323433	0.021847
HAP1_chr19	HAP2_chr19	chr19	55	1207	3036	3787	0.184963	0.333432
HAP1_chr20	HAP2_chr20	chr20	1501	2853	2923	4284	0.604135	0.052855
HAP1_chr21	HAP2_chr21	chr21	1794	1927	2770	3697	0.575383	0.077064
HAP1_chr22	HAP2_chr22	chr22	151	2677	3069	5082	0.346951	0.628578
HAP1_chr23	HAP2_chr23	chr23	1649	255	3294	2231	0.344615	1.023911
HAP1_chr24	HAP2_chr24	chr24	1498	3994	3401	6325	0.564672	0.008845
HAP1_chr25	HAP2_chr25	chr25	1040	1691	1353	2084	0.794588	0.006830
HAP1_chr26	HAP2_chr26	chr26	1725	2884	3887	4857	0.527104	0.036082
